frame_id,stamp_ns,tracking_state,keypoints,valid_depths,valid_depth_ratio,depth_grid_coverage,tracked_inliers,feature_extract_ms,stereo_match_ms,frontend_ms,track_total_ms
0,2569011476808,2,607,169,0.278418,0.6875,169,65.743307,8.183325,73.926632,81.634371
1,2569101470849,2,604,170,0.281457,0.708333,134,61.198122,15.931731,77.129853,107.386683
2,2569191465849,2,604,156,0.258278,0.687500,131,63.616674,8.322242,71.938916,97.926103
3,2569371464141,2,606,158,0.260726,0.687500,126,56.900896,8.217491,65.118387,90.468740
4,2569461529016,2,602,168,0.279070,0.750000,126,59.893033,7.667114,67.560147,91.730120
5,2569551461141,2,604,157,0.259934,0.708333,139,63.649673,7.707864,71.357537,98.573981
6,2569641461516,2,604,175,0.289735,0.708333,130,62.734878,8.526701,71.261579,99.135066
7,2569731464350,2,604,161,0.266556,0.708333,125,57.819192,8.350033,66.169225,80.842659
8,2569821457141,2,604,162,0.268212,0.708333,128,61.513290,14.773351,76.286641,100.777906
9,2569911460433,2,605,166,0.274380,0.687500,133,60.083617,13.950972,74.034589,92.966333
10,2570001461725,2,607,157,0.258649,0.729167,132,65.463556,7.172278,72.635834,88.709108
11,2570181473058,2,606,163,0.268977,0.687500,134,66.253225,13.634763,79.887988,103.559875
12,2570271470767,2,603,159,0.263682,0.729167,138,56.102601,6.750736,62.853337,80.077739
13,2570361465975,2,609,156,0.256158,0.708333,119,57.658857,14.946685,72.605542,94.632214
14,2570451459767,2,601,164,0.272879,0.729167,134,69.099111,15.337520,84.436631,105.735467
15,2570541463475,2,604,192,0.317881,0.687500,133,60.818536,9.501997,70.320533,87.873603
16,2570631468559,2,604,166,0.274834,0.687500,130,59.881032,7.349238,67.230270,87.362102
17,2570721464559,2,603,172,0.285240,0.708333,140,63.523088,16.185190,79.708278,102.420120
18,2570811468850,2,604,178,0.294702,0.729167,136,60.467743,15.875189,76.342932,100.411237
19,2570991474350,2,603,156,0.258706,0.750000,125,60.190326,14.710017,74.900343,98.693730
20,2571081465434,2,602,165,0.274086,0.729167,123,64.226550,15.424062,79.650612,104.131586
21,2571171462517,2,605,163,0.269421,0.729167,135,59.579698,10.228875,69.808573,92.099996
22,2571261467517,2,603,154,0.255390,0.770833,135,66.983102,14.356724,81.339826,109.160147
23,2571351467392,2,603,159,0.263682,0.729167,133,58.389985,7.339946,65.729931,81.391493
24,2571441479059,2,604,155,0.256623,0.666667,129,56.694311,7.997866,64.692177,80.793783
25,2571531472601,2,605,161,0.266116,0.729167,129,67.811189,15.180853,82.992042,105.031421
26,2571711482392,2,607,146,0.240527,0.645833,130,60.909411,14.160182,75.069593,98.797481
27,2571801474351,2,604,157,0.259934,0.729167,123,59.357697,14.615267,73.972964,98.768355
28,2571891471934,2,607,175,0.288303,0.729167,126,59.777199,15.464979,75.242178,97.929227
29,2571981474059,2,603,169,0.280265,0.750000,127,63.719756,15.623021,79.342777,103.447207
30,2572071470309,2,603,165,0.273632,0.729167,118,56.064017,10.158124,66.222141,87.011891
31,2572161479393,2,605,150,0.247934,0.750000,121,63.782965,6.437151,70.220116,94.362754
32,2572251464934,2,604,155,0.256623,0.708333,124,64.975719,10.733293,75.709012,100.623945
33,2572431489934,2,607,162,0.266886,0.708333,118,58.664485,6.690110,65.354595,85.269925
34,2572521487934,2,606,151,0.249175,0.770833,126,62.509709,11.247545,73.757254,93.048331
35,2572611478059,2,602,168,0.279070,0.750000,120,68.638775,15.808938,84.447713,108.035600
36,2572701478018,2,607,167,0.275124,0.750000,118,59.690698,15.044935,74.735633,98.368478
37,2572791496351,2,605,165,0.272727,0.770833,119,58.884319,8.656868,67.541187,82.934375
38,2572881471310,2,609,171,0.280788,0.770833,119,63.496422,15.918106,79.414528,102.971204
39,2572971488893,2,606,166,0.273927,0.729167,122,59.456905,8.213200,67.670105,83.412418
40,2573151513851,2,606,167,0.275578,0.750000,129,63.641505,15.248311,78.889816,100.134568
41,2573241482810,2,604,163,0.269868,0.729167,121,58.956862,14.895560,73.852422,96.946263
42,2573331478518,2,603,166,0.275290,0.750000,123,63.788130,13.156678,76.944808,101.954575
43,2573421486268,2,604,175,0.289735,0.729167,127,60.921244,8.173283,69.094527,84.659464
44,2573511491102,2,602,155,0.257475,0.708333,116,59.559155,14.752184,74.311339,96.956388
