frame_id,stamp_ns,tracking_state,keypoints,valid_depths,valid_depth_ratio,depth_grid_coverage,tracked_inliers,feature_extract_ms,stereo_match_ms,frontend_ms,track_total_ms
58,2574951491436,2,604,162,0.268212,0.687500,122,59.443771,15.140933,74.584704,94.990075
59,2575041485936,2,603,156,0.258706,0.708333,125,64.670875,14.455097,79.125972,105.003948
60,2575131484561,2,604,158,0.261589,0.687500,132,59.364647,8.271282,67.635929,83.957324
61,2575221484144,2,603,166,0.275290,0.750000,134,62.257365,13.388427,75.645792,95.952955
62,2575401483186,2,604,148,0.245033,0.750000,131,59.805440,7.813447,67.618887,82.675569
63,2575491485852,2,604,171,0.283113,0.791667,133,65.383420,16.085770,81.469190,107.486499
64,2575581484394,2,602,154,0.255814,0.687500,126,57.804932,14.319055,72.123987,97.814795
65,2575671476686,2,603,161,0.266998,0.666667,129,60.988819,8.085406,69.074225,85.308205
66,2575761490436,2,602,156,0.259136,0.750000,120,62.523824,14.642015,77.165839,100.415638
67,2575851483061,2,603,160,0.265340,0.750000,127,57.599556,11.162001,68.761557,88.651801
68,2575941489311,2,606,154,0.254125,0.708333,117,64.704583,14.597057,79.301640,94.141155
69,2576121486519,2,602,153,0.254153,0.750000,119,58.525976,6.494358,65.020334,80.034726
70,2576211494853,2,607,160,0.263591,0.708333,117,63.897205,15.017350,78.914555,103.028606
71,2576301492853,2,606,175,0.288779,0.750000,123,61.448070,8.496074,69.944144,85.569831
72,2576391492270,2,607,152,0.250412,0.708333,129,64.311040,14.747099,79.058139,98.697673
73,2576481495020,2,607,168,0.276771,0.729167,128,60.631901,15.541976,76.173877,97.624585
74,2576571485770,2,607,159,0.261944,0.687500,131,61.777197,8.103240,69.880437,84.012866
75,2576661489895,2,601,150,0.249584,0.750000,124,65.163876,6.402108,71.565984,97.572834
76,2576751496520,2,604,155,0.256623,0.708333,125,59.323145,7.211153,66.534298,81.375397
77,2576931498687,2,604,146,0.241722,0.729167,117,57.444513,14.137846,71.582359,101.279974
78,2577021495520,2,605,150,0.247934,0.666667,114,60.632192,14.787932,75.420124,96.182413
79,2577111489728,2,605,171,0.282645,0.708333,130,62.674284,15.710560,78.384844,103.120814
80,2577201491645,2,604,173,0.286424,0.770833,125,56.012091,7.182777,63.194868,84.109282
81,2577291484020,2,606,161,0.265677,0.770833,120,63.514870,7.804947,71.319817,93.876403
82,2577381494770,2,605,165,0.272727,0.708333,122,56.012924,7.060653,63.073577,77.429257
83,2577471493145,2,602,160,0.265781,0.729167,123,64.213997,10.013038,74.227035,90.149681
84,2577651488229,2,604,158,0.261589,0.729167,121,65.255877,13.496677,78.752554,91.183102
85,2577741498270,2,606,163,0.268977,0.687500,123,61.479279,9.567245,71.046524,92.089022
86,2577831505937,2,608,153,0.251645,0.750000,123,62.454782,14.363222,76.818004,100.684596
87,2577921488645,2,606,159,0.262376,0.687500,119,58.861143,14.517389,73.378532,91.596186
88,2578011493437,2,604,162,0.268212,0.708333,128,65.240626,7.985197,73.225823,88.186381
89,2578101498937,2,605,165,0.272727,0.666667,131,58.323141,15.327101,73.650242,96.087912
90,2578191503937,2,605,160,0.264463,0.750000,123,62.126114,14.900057,77.026171,100.340970
91,2578281501270,2,607,162,0.266886,0.770833,129,54.915878,7.890572,62.806450,81.526272
92,2578461505437,2,606,159,0.262376,0.645833,125,65.965671,9.946747,75.912418,98.319629
93,2578551490729,2,608,175,0.287829,0.729167,128,67.408385,16.079645,83.488030,109.859507
94,2578641495729,2,604,154,0.254967,0.708333,126,61.502028,11.756254,73.258282,94.320446
95,2578731521604,2,606,158,0.260726,0.729167,116,57.227762,12.954758,70.182520,89.202594
96,2578821526062,2,601,166,0.276206,0.729167,119,65.734878,10.142581,75.877459,95.195116
97,2578911500312,2,607,167,0.275124,0.770833,127,60.763525,15.751894,76.515419,100.384720
98,2579001500479,2,602,166,0.275748,0.708333,128,57.230220,13.092300,70.322520,85.735997
99,2579181494688,2,602,176,0.292359,0.729167,126,57.542055,8.822909,66.364964,81.365522
100,2579271529354,2,601,174,0.289517,0.750000,129,60.515108,15.619560,76.134668,99.038131
101,2579361495313,2,604,153,0.253311,0.729167,124,62.062488,14.231055,76.293543,101.078181
102,2579451496563,2,606,171,0.282178,0.729167,130,61.201902,8.505658,69.707560,86.009414
103,2579541509229,2,605,157,0.259504,0.729167,98,60.105440,14.892891,74.998331,98.377712
