frame_id,stamp_ns,tracking_state,keypoints,valid_depths,valid_depth_ratio,depth_grid_coverage,tracked_inliers,feature_extract_ms,stereo_match_ms,frontend_ms,track_total_ms
0,2569011476808,2,607,169,0.278418,0.6875,169,63.118490,9.453780,72.572270,82.598634
1,2569101470849,2,604,170,0.281457,0.708333,134,61.076191,8.810944,69.887135,99.605604
2,2569191465849,2,604,156,0.258278,0.687500,131,64.792995,8.347485,73.140480,99.321562
3,2569371464141,2,606,158,0.260726,0.687500,126,56.011925,8.192942,64.204867,89.767532
4,2569461529016,2,602,168,0.279070,0.750000,126,60.180022,7.586815,67.766837,91.865913
5,2569551461141,2,604,157,0.259934,0.708333,139,64.339661,7.722357,72.062018,99.503645
6,2569641461516,2,604,175,0.289735,0.708333,130,61.129150,7.062605,68.191755,93.955545
7,2569731464350,2,604,161,0.266556,0.708333,125,61.928111,8.471485,70.399596,85.069892
8,2569821457141,2,604,162,0.268212,0.708333,128,62.579280,14.796129,77.375409,96.796262
9,2569911460433,2,605,166,0.274380,0.687500,133,66.039291,16.111342,82.150633,107.804088
10,2570001461725,2,607,157,0.258649,0.729167,132,60.411523,7.953608,68.365131,84.322181
11,2570181473058,2,606,163,0.268977,0.687500,134,64.165993,15.688049,79.854042,99.144436
12,2570271470767,2,603,159,0.263682,0.729167,138,63.874076,12.185121,76.059197,98.896935
13,2570361465975,2,609,156,0.256158,0.708333,119,57.869431,14.886255,72.755686,95.313091
14,2570451459767,2,601,164,0.272879,0.729167,134,59.088686,14.876547,73.965233,95.203882
15,2570541463475,2,604,192,0.317881,0.687500,133,64.914161,17.373846,82.288007,108.247590
16,2570631468559,2,604,166,0.274834,0.687500,130,61.893278,8.411401,70.304679,85.940686
17,2570721464559,2,603,172,0.285240,0.708333,140,59.859395,10.151365,70.010760,92.848958
18,2570811468850,2,604,178,0.294702,0.729167,136,68.765091,15.901966,84.667057,106.128666
19,2570991474350,2,603,156,0.258706,0.750000,125,59.844062,14.855130,74.699192,106.695835
20,2571081465434,2,602,165,0.274086,0.729167,123,58.780767,15.521798,74.302565,96.731845
21,2571171462517,2,605,163,0.269421,0.729167,135,60.263647,14.102211,74.365858,98.627183
22,2571261467517,2,603,154,0.255390,0.770833,135,56.337510,6.710146,63.047656,80.003959
