frame_index,stamp_ns,tracking_state,method,pair_type,extract_a_ms,extract_b_ms,preprocess_a_ms,preprocess_b_ms,bpu_queue_a_ms,bpu_queue_b_ms,bpu_a_ms,bpu_b_ms,postprocess_a_ms,postprocess_b_ms,keypoints_a,keypoints_b,extraction_wall_ms,match_ms,geometry_ms,end_to_end_pair_ms,matches,ransac_inliers,strict_inliers,strict_inlier_ratio,strict_grid_coverage,median_vertical_error_px,median_disparity_px,fine_total_ms,fine_preprocess_ms,fine_bpu_queue_ms,fine_bpu_ms,fine_postprocess_ms,photometric_inliers,photometric_inlier_ratio,photometric_grid_coverage,patch_ncc_median,patch_ncc_p10,photometric_ms
0,2569011476808,-1,xfeat_star_coarse,stereo,23.099109,39.904055,4.999788,4.954246,0.000875,16.067322,16.046531,17.046905,2.051707,1.835332,600,600,40.227388,5.640496,1.847624,47.715508,334,334,334,1.000000,0.979167,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,168,0.502994,0.750000,0.520672,-0.389721,25.404774
0,2569011476808,-1,xfeat_star_fine,stereo,23.099109,39.904055,4.999788,4.954246,0.000875,16.067322,16.046531,17.046905,2.051707,1.835332,600,600,40.227388,5.640496,1.227083,61.182999,321,321,318,0.990654,0.958333,0.000000,1.627930,14.088032,0.862124,0.001583,9.654702,3.569039,183,0.570093,0.750000,0.637557,-0.091691,21.824318
0,2569011476808,-1,orb_cpu,stereo,70.472660,65.343413,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,599,600,70.783034,22.467401,4.420456,97.670891,379,333,332,0.875989,0.354167,0.000000,1.727997,0.000000,0.000000,0.000000,0.000000,0.000000,318,0.839050,0.354167,0.929630,0.575860,7.400619
1,2569101470849,-1,xfeat_star_coarse,stereo,22.182943,39.258431,4.467289,5.595455,0.000875,14.845448,16.020447,16.955780,1.693999,1.861540,600,600,39.610472,2.925707,0.608166,43.144345,335,335,335,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,168,0.501493,0.770833,0.519717,-0.323354,12.853908
1,2569101470849,-1,xfeat_star_fine,stereo,22.182943,39.258431,4.467289,5.595455,0.000875,14.845448,16.020447,16.955780,1.693999,1.861540,600,600,39.610472,2.925707,0.306209,53.648589,328,328,325,0.990854,0.979167,0.000000,1.562164,10.806201,0.360167,0.000750,9.337869,1.107082,192,0.585366,0.750000,0.626042,-0.082277,9.651368
1,2569101470849,-1,orb_cpu,stereo,71.352200,65.109830,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,600,598,71.588201,20.043027,3.416956,95.048184,386,342,341,0.883420,0.333333,0.000000,1.728003,0.000000,0.000000,0.000000,0.000000,0.000000,322,0.834197,0.312500,0.934296,0.577358,7.283495
1,2569101470849,-1,xfeat_guided,temporal,23.099109,22.182943,4.999788,4.467289,0.000875,0.000875,16.046531,16.020447,2.051707,1.693999,600,600,45.282052,3.505373,0.715624,49.503049,384,383,383,0.997396,1.000000,0.000000,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,nan,nan,0.000000
1,2569101470849,-1,orb_cpu,temporal,70.472660,71.352200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,599,600,141.824860,10.097035,0.693291,152.615186,519,517,517,0.996146,0.375000,0.000000,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,nan,nan,0.000000
10,2570001461725,-1,xfeat_star_coarse,stereo,38.255515,23.284317,3.976664,3.932164,15.900530,0.000667,16.734239,15.880863,1.643998,3.470373,600,600,38.542973,1.637457,0.353500,40.533930,345,345,345,1.000000,0.979167,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,160,0.463768,0.750000,0.464637,-0.340827,7.807661
10,2570001461725,-1,xfeat_star_fine,stereo,38.255515,23.284317,3.976664,3.932164,15.900530,0.000667,16.734239,15.880863,1.643998,3.470373,600,600,38.542973,1.637457,0.354167,54.411171,334,334,333,0.997006,0.979167,0.000000,1.649307,13.876574,0.384125,0.001000,12.075950,1.415249,181,0.541916,0.791667,0.584545,-0.094201,6.690912
