frame_id,stamp_ns,tracking_state,keypoints,valid_depths,valid_depth_ratio,depth_grid_coverage,tracked_inliers,feature_extract_ms,stereo_match_ms,frontend_ms,track_total_ms
0,2569011476808,2,607,169,0.278418,0.6875,169,63.167258,8.669558,71.836816,79.930705
1,2569101470849,2,604,170,0.281457,0.708333,134,62.607671,15.960441,78.568112,108.982067
2,2569191465849,2,604,156,0.258278,0.687500,131,57.957223,8.240097,66.197320,92.443413
3,2569371464141,2,606,158,0.260726,0.687500,126,57.768472,6.758795,64.527267,89.776562
4,2569461529016,2,602,168,0.279070,0.750000,126,60.247988,7.368758,67.616746,91.751241
5,2569551461141,2,604,157,0.259934,0.708333,139,64.260223,7.758885,72.019108,99.391335
6,2569641461516,2,604,175,0.289735,0.708333,130,56.128919,7.427300,63.556219,90.994278
7,2569731464350,2,604,161,0.266556,0.708333,125,55.345455,7.726510,63.071965,77.925440
8,2569821457141,2,604,162,0.268212,0.708333,128,58.661478,14.768099,73.429577,90.357316
9,2569911460433,2,605,166,0.274380,0.687500,133,61.193620,14.628681,75.822301,99.627836
10,2570001461725,2,607,157,0.258649,0.729167,132,60.406281,13.428923,73.835204,93.512753
11,2570181473058,2,606,163,0.268977,0.687500,134,66.044860,15.605938,81.650798,105.312915
12,2570271470767,2,603,159,0.263682,0.729167,138,57.474677,7.228924,64.703601,86.511164
13,2570361465975,2,609,156,0.256158,0.708333,119,62.570337,15.016018,77.586355,102.822773
14,2570451459767,2,601,164,0.272879,0.729167,134,59.011771,15.438312,74.450083,96.189395
15,2570541463475,2,604,192,0.317881,0.687500,133,66.298028,17.450326,83.748354,109.282233
16,2570631468559,2,604,166,0.274834,0.687500,130,64.341140,15.464229,79.805369,105.006204
17,2570721464559,2,603,172,0.285240,0.708333,140,56.906007,8.253598,65.159605,86.463163
18,2570811468850,2,604,178,0.294702,0.729167,136,56.659506,7.261841,63.921347,80.711375
19,2570991474350,2,603,156,0.258706,0.750000,125,61.338162,14.819849,76.158011,105.086705
20,2571081465434,2,602,165,0.274086,0.729167,123,58.141348,6.860380,65.001728,79.802161
21,2571171462517,2,605,163,0.269421,0.729167,135,62.961922,9.831191,72.793113,95.590057
22,2571261467517,2,603,154,0.255390,0.770833,135,61.488786,14.503764,75.992550,102.086726
23,2571351467392,2,603,159,0.263682,0.729167,133,65.124978,14.871683,79.996661,105.775250
24,2571441479059,2,604,155,0.256623,0.666667,129,58.087222,6.755379,64.842601,85.615407
25,2571531472601,2,605,161,0.266116,0.729167,129,63.884553,15.375145,79.259698,103.906321
26,2571711482392,2,607,146,0.240527,0.645833,130,60.216070,14.391763,74.607833,100.250797
27,2571801474351,2,604,157,0.259934,0.729167,123,57.910471,6.913171,64.823642,80.681999
28,2571891471934,2,607,175,0.288303,0.729167,126,58.137931,15.513104,73.651035,90.568440
29,2571981474059,2,603,169,0.280265,0.750000,127,64.014470,8.579725,72.594195,89.129472
30,2572071470309,2,603,165,0.273632,0.729167,118,61.459703,7.553259,69.012962,83.080306
31,2572161479393,2,605,150,0.247934,0.750000,121,64.668099,6.367792,71.035891,95.320888
32,2572251464934,2,604,155,0.256623,0.708333,124,57.629177,11.598495,69.227672,87.974213
33,2572431489934,2,607,162,0.266886,0.708333,118,64.415097,15.191102,79.606199,104.776659
34,2572521487934,2,606,151,0.249175,0.770833,126,61.557204,12.801461,74.358665,97.874446
35,2572611478059,2,602,168,0.279070,0.750000,120,65.296478,15.738272,81.034750,102.482227
36,2572701478018,2,607,167,0.275124,0.750000,118,61.740080,15.219769,76.959849,102.474977
37,2572791496351,2,605,165,0.272727,0.770833,119,61.016616,9.125686,70.142302,93.648168
38,2572881471310,2,609,171,0.280788,0.770833,119,63.911552,13.047879,76.959431,92.823287
39,2572971488893,2,606,166,0.273927,0.729167,122,58.586684,7.590426,66.177110,81.917631
40,2573151513851,2,606,167,0.275578,0.750000,129,58.151972,15.458103,73.610075,103.223106
41,2573241482810,2,604,163,0.269868,0.729167,121,56.769296,13.705841,70.475137,95.159427
42,2573331478518,2,603,166,0.275290,0.750000,123,63.041379,10.092817,73.134196,95.644889
43,2573421486268,2,604,175,0.289735,0.729167,127,67.027072,12.987711,80.014783,94.031170
44,2573511491102,2,602,155,0.257475,0.708333,116,59.832358,7.311174,67.143532,81.074333
45,2573601474310,2,601,165,0.274542,0.770833,118,57.419259,15.022434,72.441693,91.110983
46,2573691487018,2,603,170,0.281924,0.750000,124,64.735641,15.826564,80.562205,104.427530
47,2573871481185,2,603,157,0.260365,0.729167,128,60.661780,8.077220,68.739000,83.762975
48,2573961525810,2,603,153,0.253731,0.687500,120,63.678675,15.085351,78.764026,102.702185
49,2574051480560,2,606,154,0.254125,0.770833,124,59.997984,11.819537,71.817521,91.531736
50,2574141488394,2,604,166,0.274834,0.708333,124,59.115686,15.554354,74.670040,96.997397
51,2574231483935,2,605,165,0.272727,0.729167,124,64.601013,12.249748,76.850761,102.792768
52,2574321481352,2,600,155,0.258333,0.750000,120,56.116874,6.539127,62.656001,77.782268
