frame_index,stamp_ns,tracking_state,method,pair_type,extract_a_ms,extract_b_ms,preprocess_a_ms,preprocess_b_ms,bpu_queue_a_ms,bpu_queue_b_ms,bpu_a_ms,bpu_b_ms,postprocess_a_ms,postprocess_b_ms,keypoints_a,keypoints_b,extraction_wall_ms,match_ms,geometry_ms,end_to_end_pair_ms,matches,ransac_inliers,strict_inliers,strict_inlier_ratio,strict_grid_coverage,median_vertical_error_px,median_disparity_px,fine_total_ms,fine_preprocess_ms,fine_bpu_queue_ms,fine_bpu_ms,fine_postprocess_ms
21,2571171462517,-1,xfeat_star_coarse,stereo,22.928700,38.994207,4.686157,4.610573,0.001042,17.029463,17.012546,15.933549,1.228789,1.420330,600,600,39.379123,4.207658,1.037123,44.623904,384,384,384,1.000000,0.541667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
21,2571171462517,-1,xfeat_star_fine,stereo,22.928700,38.994207,4.686157,4.610573,0.001042,17.029463,17.012546,15.933549,1.228789,1.420330,600,600,39.379123,4.207658,0.319041,57.441876,381,381,380,0.997375,0.520833,0.000000,1.255005,13.536054,0.326541,0.000958,11.934350,1.273872
21,2571171462517,-1,orb_cpu,stereo,68.141228,63.507112,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,599,600,68.406727,15.278717,4.504824,88.190268,403,357,356,0.883375,0.333333,0.000000,1.440002,0.000000,0.000000,0.000000,0.000000,0.000000
21,2571171462517,-1,xfeat_guided,temporal,38.004876,22.928700,3.954075,4.686157,15.869090,0.001042,16.918588,17.012546,1.262914,1.228789,600,600,60.933576,16.391548,0.619082,77.944206,384,384,384,1.000000,0.541667,0.000000,nan,0.000000,0.000000,0.000000,0.000000,0.000000
21,2571171462517,-1,orb_cpu,temporal,64.279861,68.141228,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,600,599,132.421089,11.125767,0.681957,144.228813,526,525,525,0.998099,0.354167,0.000000,nan,0.000000,0.000000,0.000000,0.000000,0.000000
30,2572071470309,1,xfeat_star_coarse,stereo,22.450868,38.495333,4.429573,4.390032,0.001041,16.799089,16.780964,15.877216,1.239081,1.428746,600,600,38.782833,2.453994,0.511833,41.748660,384,384,384,1.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
30,2572071470309,1,xfeat_star_fine,stereo,22.450868,38.495333,4.429573,4.390032,0.001041,16.799089,16.780964,15.877216,1.239081,1.428746,600,600,38.782833,2.453994,0.305374,52.531178,381,381,381,1.000000,0.500000,0.000000,1.231964,10.988977,0.217667,0.000667,9.530646,1.239831
30,2572071470309,1,orb_cpu,stereo,64.870443,65.815441,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,600,600,66.282273,10.385644,2.263662,78.931579,395,353,352,0.891139,0.333333,0.000000,1.727997,0.000000,0.000000,0.000000,0.000000,0.000000
31,2572161479393,1,xfeat_star_coarse,stereo,26.646068,43.508448,8.692815,8.626315,0.001333,16.519131,16.547673,17.140213,1.403664,1.222414,600,600,43.884405,2.074287,1.171831,47.130523,384,382,382,0.994792,0.479167,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
31,2572161479393,1,xfeat_star_fine,stereo,26.646068,43.508448,8.692815,8.626315,0.001333,16.519131,16.547673,17.140213,1.403664,1.222414,600,600,43.884405,2.074287,0.244708,57.379168,384,384,383,0.997396,0.479167,0.000000,1.232971,11.175768,0.213666,0.000500,9.732313,1.229164
31,2572161479393,1,orb_cpu,stereo,63.843278,64.646318,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,600,600,64.930359,8.220732,2.265162,75.416253,411,365,364,0.885645,0.333333,0.000000,1.727997,0.000000,0.000000,0.000000,0.000000,0.000000
31,2572161479393,1,xfeat_guided,temporal,22.450868,26.646068,4.429573,8.692815,0.001041,0.001333,16.780964,16.547673,1.239081,1.403664,600,600,49.096936,5.392113,0.298916,54.787965,384,384,384,1.000000,0.500000,0.000000,nan,0.000000,0.000000,0.000000,0.000000,0.000000
31,2572161479393,1,orb_cpu,temporal,64.870443,63.843278,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,600,600,128.713721,10.052395,1.108956,139.875072,546,540,540,0.989011,0.354167,0.000000,nan,0.000000,0.000000,0.000000,0.000000,0.000000
40,2573151513851,1,xfeat_star_coarse,stereo,22.897575,40.207913,4.735948,4.668824,0.001083,16.823005,16.769714,17.482921,1.390622,1.232955,600,600,40.671953,2.089079,0.685041,43.446073,384,384,384,1.000000,0.458333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
40,2573151513851,1,xfeat_star_fine,stereo,22.897575,40.207913,4.735948,4.668824,0.001083,16.823005,16.769714,17.482921,1.390622,1.232955,600,600,40.671953,2.089079,1.201873,61.977241,380,380,379,0.997368,0.458333,0.000000,1.244324,18.014336,0.188041,0.000584,11.898141,5.927445
40,2573151513851,1,orb_cpu,stereo,63.997528,65.532233,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,600,600,65.797691,20.232665,4.749239,90.779595,407,354,353,0.867322,0.333333,0.000000,1.520004,0.000000,0.000000,0.000000,0.000000,0.000000
41,2573241482810,1,xfeat_star_coarse,stereo,22.778909,38.929582,4.684281,4.609282,0.000792,16.878672,16.863630,15.956007,1.229998,1.485455,600,600,39.391248,1.955663,0.767957,42.114868,384,384,384,1.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
41,2573241482810,1,xfeat_star_fine,stereo,22.778909,38.929582,4.684281,4.609282,0.000792,16.878672,16.863630,15.956007,1.229998,1.485455,600,600,39.391248,1.955663,0.649040,58.553999,382,382,381,0.997382,0.479167,0.000000,1.231262,16.558048,0.198208,0.000458,11.939141,4.420074
41,2573241482810,1,orb_cpu,stereo,63.658987,64.707110,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,600,600,64.990109,21.729953,2.772619,89.492681,404,354,354,0.876238,0.333333,0.000000,1.440002,0.000000,0.000000,0.000000,0.000000,0.000000
41,2573241482810,1,xfeat_guided,temporal,22.897575,22.778909,4.735948,4.684281,0.001083,0.000792,16.769714,16.863630,1.390622,1.229998,600,600,45.676484,5.388322,0.391874,51.456680,384,384,384,1.000000,0.479167,0.000000,nan,0.000000,0.000000,0.000000,0.000000,0.000000
41,2573241482810,1,orb_cpu,temporal,63.997528,63.658987,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,600,600,127.656515,15.666841,0.827039,144.150395,526,520,520,0.988593,0.354167,0.000000,nan,0.000000,0.000000,0.000000,0.000000,0.000000
