frame_index,stamp_ns,tracking_state,method,pair_type,extract_a_ms,extract_b_ms,preprocess_a_ms,preprocess_b_ms,bpu_queue_a_ms,bpu_queue_b_ms,bpu_a_ms,bpu_b_ms,postprocess_a_ms,postprocess_b_ms,keypoints_a,keypoints_b,extraction_wall_ms,match_ms,geometry_ms,end_to_end_pair_ms,matches,ransac_inliers,strict_inliers,strict_inlier_ratio,strict_grid_coverage,median_vertical_error_px,median_disparity_px,fine_total_ms,fine_preprocess_ms,fine_bpu_queue_ms,fine_bpu_ms,fine_postprocess_ms,photometric_inliers,photometric_inlier_ratio,photometric_grid_coverage,patch_ncc_median,patch_ncc_p10,photometric_ms
0,2569011476808,-1,xfeat_star_coarse,stereo,23.078024,39.641737,5.033973,4.995098,0.001167,16.000212,15.977670,16.757797,2.064881,1.888297,600,600,39.958404,1.367503,0.443002,41.768909,334,334,334,1.000000,0.979167,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,168,0.502994,0.750000,0.520672,-0.389721,15.843003
0,2569011476808,-1,xfeat_star_fine,stereo,23.078024,39.641737,5.033973,4.995098,0.001167,16.000212,15.977670,16.757797,2.064881,1.888297,600,600,39.958404,1.367503,0.306418,53.231732,321,321,318,0.990654,0.958333,0.000000,1.627930,11.599407,0.865960,0.001417,9.624027,1.107461,183,0.570093,0.750000,0.637557,-0.091691,14.651208
0,2569011476808,-1,orb_cpu,stereo,65.427767,68.032067,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,599,600,68.300442,19.853431,2.270465,90.424338,379,333,332,0.875989,0.354167,0.000000,1.727997,0.000000,0.000000,0.000000,0.000000,0.000000,318,0.839050,0.354167,0.929630,0.575860,7.183562
1,2569101470849,-1,xfeat_star_coarse,stereo,22.281688,39.391861,4.477846,5.624307,0.000834,14.974793,16.153670,16.662130,1.649130,2.130506,600,600,39.753195,1.612672,0.345668,41.711535,335,335,335,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,168,0.501493,0.770833,0.519717,-0.323354,6.597852
1,2569101470849,-1,xfeat_star_fine,stereo,22.281688,39.391861,4.477846,5.624307,0.000834,14.974793,16.153670,16.662130,1.649130,2.130506,600,600,39.753195,1.612672,0.310168,52.798942,328,328,325,0.990854,0.979167,0.000000,1.562164,11.122907,0.268876,0.000500,9.735860,1.117462,192,0.585366,0.750000,0.626042,-0.082277,10.113153
1,2569101470849,-1,orb_cpu,stereo,70.440448,64.577015,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,600,598,70.664074,20.214432,4.236970,95.115476,386,342,341,0.883420,0.333333,0.000000,1.728003,0.000000,0.000000,0.000000,0.000000,0.000000,322,0.834197,0.312500,0.934296,0.577358,9.027859
1,2569101470849,-1,xfeat_guided,temporal,23.078024,22.281688,5.033973,4.477846,0.001167,0.000834,15.977670,16.153670,2.064881,1.649130,600,600,45.359712,3.580510,0.694960,49.635182,384,383,383,0.997396,1.000000,0.000000,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,nan,nan,0.000000
1,2569101470849,-1,orb_cpu,temporal,65.427767,70.440448,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,599,600,135.868215,10.050320,0.676210,146.594745,519,517,517,0.996146,0.375000,0.000000,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,nan,nan,0.000000
10,2570001461725,-1,xfeat_star_coarse,stereo,21.487060,38.107024,3.917428,3.895553,0.001083,15.903919,15.907253,16.626089,1.660796,1.681338,600,600,38.442441,1.638421,0.360334,40.441196,345,345,345,1.000000,0.979167,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,160,0.463768,0.750000,0.464637,-0.340827,7.144604
10,2570001461725,-1,xfeat_star_fine,stereo,21.487060,38.107024,3.917428,3.895553,0.001083,15.903919,15.907253,16.626089,1.660796,1.681338,600,600,38.442441,1.638421,0.307668,51.138644,334,334,333,0.997006,0.979167,0.000000,1.649307,10.750114,0.277584,0.000667,9.347109,1.124587,181,0.541916,0.791667,0.584545,-0.094201,6.006267
10,2570001461725,-1,orb_cpu,stereo,62.371467,63.968388,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,599,600,64.396473,10.244279,4.013886,78.654638,371,333,331,0.892183,0.312500,0.000000,1.727997,0.000000,0.000000,0.000000,0.000000,0.000000,316,0.851752,0.312500,0.935809,0.614560,10.472946
11,2570181473058,-1,xfeat_star_coarse,stereo,21.463436,38.275233,3.931720,3.888719,0.000666,15.909253,15.891795,16.860672,1.639005,1.616380,600,600,38.604983,1.645879,0.462251,40.713113,332,332,332,1.000000,0.979167,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,157,0.472892,0.750000,0.474767,-0.374532,7.303437
