frame_index,stamp_ns,tracking_state,method,pair_type,extract_a_ms,extract_b_ms,preprocess_a_ms,preprocess_b_ms,bpu_queue_a_ms,bpu_queue_b_ms,bpu_a_ms,bpu_b_ms,postprocess_a_ms,postprocess_b_ms,keypoints_a,keypoints_b,extraction_wall_ms,match_ms,geometry_ms,end_to_end_pair_ms,matches,ransac_inliers,strict_inliers,strict_inlier_ratio,strict_grid_coverage,median_vertical_error_px,median_disparity_px,fine_total_ms,fine_preprocess_ms,fine_bpu_queue_ms,fine_bpu_ms,fine_postprocess_ms,photometric_inliers,photometric_inlier_ratio,photometric_grid_coverage,patch_ncc_median,patch_ncc_p10,photometric_ms
20,2571081465434,-1,xfeat_star_coarse,stereo,38.266855,21.560447,3.965164,3.909623,15.973117,0.001000,16.685075,15.951075,1.643165,1.698416,600,600,38.575106,3.014373,0.596333,42.185812,313,313,313,1.000000,0.979167,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,142,0.453674,0.687500,0.461136,-0.285790,12.382910
20,2571081465434,-1,xfeat_star_fine,stereo,38.266855,21.560447,3.965164,3.909623,15.973117,0.001000,16.685075,15.951075,1.643165,1.698416,600,600,38.575106,3.014373,0.291583,52.596932,283,283,283,1.000000,0.979167,0.000000,1.636398,10.715870,0.326625,0.000791,9.351454,1.036708,158,0.558304,0.687500,0.605980,-0.063017,14.703117
20,2571081465434,-1,orb_cpu,stereo,64.453050,66.946466,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,600,599,67.247632,20.162865,3.033748,90.444245,395,361,361,0.913924,0.333333,0.000000,1.727997,0.000000,0.000000,0.000000,0.000000,0.000000,345,0.873418,0.333333,0.936223,0.642194,9.099329
21,2571171462517,-1,xfeat_star_coarse,stereo,39.306063,22.380738,5.463372,4.482164,15.293742,0.001333,16.765825,16.163783,1.782999,1.733166,600,600,39.595438,1.615165,0.341708,41.552311,314,314,314,1.000000,0.979167,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,155,0.493631,0.791667,0.509683,-0.225114,6.190497
21,2571171462517,-1,xfeat_star_fine,stereo,39.306063,22.380738,5.463372,4.482164,15.293742,0.001333,16.765825,16.163783,1.782999,1.733166,600,600,39.595438,1.615165,0.291416,52.678638,291,291,289,0.993127,0.979167,0.000000,1.545898,11.176619,0.251792,0.000625,9.873579,1.050457,176,0.604811,0.833333,0.623858,-0.001681,8.282621
21,2571171462517,-1,orb_cpu,stereo,66.944299,60.615302,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,599,600,67.232633,18.582616,2.299040,88.114289,403,357,356,0.883375,0.333333,0.000000,1.440002,0.000000,0.000000,0.000000,0.000000,0.000000,338,0.838710,0.333333,0.934257,0.557285,7.672246
21,2571171462517,-1,xfeat_guided,temporal,38.266855,39.306063,3.965164,5.463372,15.973117,15.293742,16.685075,16.765825,1.643165,1.782999,600,600,77.572918,3.491248,0.597500,81.661666,365,360,360,0.986301,1.000000,0.000000,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,nan,nan,0.000000
21,2571171462517,-1,orb_cpu,temporal,64.453050,66.944299,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,600,599,131.397349,10.017620,0.690750,142.105719,526,525,525,0.998099,0.354167,0.000000,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,nan,nan,0.000000
30,2572071470309,1,xfeat_star_coarse,stereo,23.063739,39.110522,4.574581,4.602081,0.000916,16.932866,16.993825,15.888034,1.494083,1.687249,600,600,39.462813,1.618708,0.351750,41.433271,314,314,314,1.000000,0.979167,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,162,0.515924,0.812500,0.531929,-0.203761,6.234997
30,2572071470309,1,xfeat_star_fine,stereo,23.063739,39.110522,4.574581,4.602081,0.000916,16.932866,16.993825,15.888034,1.494083,1.687249,600,600,39.462813,1.618708,0.296125,51.955224,292,292,289,0.989726,0.958333,0.000000,1.514160,10.577578,0.231250,0.000458,9.305871,1.039791,173,0.592466,0.770833,0.625840,-0.038169,5.527039
30,2572071470309,1,orb_cpu,stereo,64.647884,66.046341,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,600,600,66.519424,10.258578,2.272916,79.050918,395,353,352,0.891139,0.333333,0.000000,1.727997,0.000000,0.000000,0.000000,0.000000,0.000000,333,0.843038,0.333333,0.933896,0.573164,7.525829
31,2572161479393,1,xfeat_star_coarse,stereo,21.437156,38.053147,3.863165,3.791831,0.001041,15.913326,15.899242,16.813324,1.673458,1.534541,600,600,38.398980,1.700333,0.344083,40.443396,317,317,317,1.000000,0.979167,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,164,0.517350,0.812500,0.533914,-0.183836,6.383497
31,2572161479393,1,xfeat_star_fine,stereo,21.437156,38.053147,3.863165,3.791831,0.001041,15.913326,15.899242,16.813324,1.673458,1.534541,600,600,38.398980,1.700333,0.299417,51.430933,301,301,300,0.996678,0.979167,0.000000,1.498940,11.032203,0.260458,0.000458,9.726787,1.044333,186,0.617940,0.833333,0.657059,0.044886,4.858373
31,2572161479393,1,orb_cpu,stereo,59.804053,60.601386,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,600,600,60.885386,15.858408,2.265374,79.009168,411,365,364,0.885645,0.333333,0.000000,1.727997,0.000000,0.000000,0.000000,0.000000,0.000000,347,0.844282,0.333333,0.932741,0.609955,7.887996
31,2572161479393,1,xfeat_guided,temporal,23.063739,21.437156,4.574581,3.863165,0.000916,0.001041,16.993825,15.899242,1.494083,1.673458,600,600,44.500895,3.361499,0.886333,48.748727,365,359,359,0.983562,1.000000,0.000000,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,nan,nan,0.000000
31,2572161479393,1,orb_cpu,temporal,64.647884,59.804053,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,600,600,124.451937,10.145078,1.149791,135.746806,546,540,540,0.989011,0.354167,0.000000,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,nan,nan,0.000000
40,2573151513851,1,xfeat_star_coarse,stereo,23.019697,38.345064,4.695456,4.563123,0.000917,16.816283,16.843033,15.454742,1.480083,1.510666,600,600,38.960647,5.661455,1.145124,45.767226,311,311,311,1.000000,0.979167,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,152,0.488746,0.729167,0.507128,-0.178863,23.776780
40,2573151513851,1,xfeat_star_fine,stereo,23.019697,38.345064,4.695456,4.563123,0.000917,16.816283,16.843033,15.454742,1.480083,1.510666,600,600,38.960647,5.661455,0.230708,55.795305,289,289,288,0.996540,0.979167,0.000000,1.503994,10.942495,0.509542,0.001417,9.392036,1.039000,174,0.602076,0.770833,0.653873,-0.038333,17.326450
40,2573151513851,1,orb_cpu,stereo,64.023217,65.881717,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,600,600,66.134508,20.490198,4.800622,91.425328,407,354,353,0.867322,0.333333,0.000000,1.520004,0.000000,0.000000,0.000000,0.000000,0.000000,338,0.830467,0.333333,0.935424,0.588273,14.288785
41,2573241482810,1,xfeat_star_coarse,stereo,22.784030,38.194897,4.692998,4.622081,0.000917,16.634283,16.611158,15.450075,1.478707,1.488291,600,600,38.567272,1.344874,0.371416,40.283562,319,319,319,1.000000,0.979167,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,159,0.498433,0.770833,0.510380,-0.209078,5.779122
41,2573241482810,1,xfeat_star_fine,stereo,22.784030,38.194897,4.692998,4.622081,0.000917,16.634283,16.611158,15.450075,1.478707,1.488291,600,600,38.567272,1.344874,0.608875,54.023681,302,302,299,0.990066,0.979167,0.000000,1.411774,13.502660,0.248459,0.000750,10.725037,2.528248,171,0.566225,0.791667,0.641867,-0.005001,11.683536
41,2573241482810,1,orb_cpu,stereo,63.153384,65.186467,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,600,600,65.470008,17.413366,2.232582,85.115956,404,354,354,0.876238,0.333333,0.000000,1.440002,0.000000,0.000000,0.000000,0.000000,0.000000,338,0.836634,0.333333,0.934649,0.617072,6.240538
41,2573241482810,1,xfeat_guided,temporal,23.019697,22.784030,4.695456,4.692998,0.000917,0.000917,16.843033,16.611158,1.480083,1.478707,600,600,45.803727,3.216123,0.699291,49.719141,374,370,370,0.989305,1.000000,0.000000,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,nan,nan,0.000000
41,2573241482810,1,orb_cpu,temporal,64.023217,63.153384,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,600,600,127.176601,9.997870,0.850208,138.024679,526,520,520,0.988593,0.354167,0.000000,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,nan,nan,0.000000
50,2574141488394,1,xfeat_star_coarse,stereo,31.672026,47.503642,12.573160,12.393493,0.001042,17.629450,17.612325,15.838867,1.485249,1.641582,600,600,48.212933,1.662791,0.345541,50.221265,317,317,317,1.000000,0.979167,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,160,0.504732,0.729167,0.520485,-0.199967,6.311997
50,2574141488394,1,xfeat_star_fine,stereo,31.672026,47.503642,12.573160,12.393493,0.001042,17.629450,17.612325,15.838867,1.485249,1.641582,600,600,48.212933,1.662791,0.613625,61.088135,300,300,300,1.000000,0.979167,0.000000,1.468267,10.598786,0.240625,0.000625,9.311287,1.046082,189,0.630000,0.750000,0.663922,-0.037559,11.653952
50,2574141488394,1,orb_cpu,stereo,65.115717,59.741177,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,600,600,65.510258,10.305912,2.125957,77.942127,408,366,362,0.887255,0.333333,0.000000,1.440002,0.000000,0.000000,0.000000,0.000000,0.000000,346,0.848039,0.333333,0.937371,0.592056,7.757663
51,2574231483935,1,xfeat_star_coarse,stereo,20.917781,36.385023,3.949957,3.909623,0.001083,15.525117,15.500700,15.453575,1.465791,1.496458,600,600,36.696481,1.656915,0.342292,38.695688,309,309,309,1.000000,0.979167,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,151,0.488673,0.687500,0.504500,-0.141166,6.068788
51,2574231483935,1,xfeat_star_fine,stereo,20.917781,36.385023,3.949957,3.909623,0.001083,15.525117,15.500700,15.453575,1.465791,1.496458,600,600,36.696481,1.656915,0.292209,49.485599,289,289,289,1.000000,0.979167,0.000000,1.538269,10.839994,0.303916,0.000792,9.516162,1.018999,173,0.598616,0.791667,0.642947,0.039133,4.683081
51,2574231483935,1,orb_cpu,stereo,66.804758,67.665882,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,600,600,67.941798,9.314370,1.278749,78.534917,411,377,377,0.917275,0.333333,0.000000,1.727997,0.000000,0.000000,0.000000,0.000000,0.000000,360,0.875912,0.333333,0.934620,0.618671,6.301955
51,2574231483935,1,xfeat_guided,temporal,31.672026,20.917781,12.573160,3.949957,0.001042,0.001083,17.612325,15.500700,1.485249,1.465791,600,600,52.589807,3.212957,0.686499,56.489263,369,365,365,0.989160,1.000000,0.000000,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,nan,nan,0.000000
51,2574231483935,1,orb_cpu,temporal,65.115717,66.804758,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,600,600,131.920475,10.023995,0.552999,142.497469,523,518,518,0.990440,0.354167,0.000000,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,nan,nan,0.000000
60,2575131484561,1,xfeat_star_coarse,stereo,39.209313,23.071155,4.730164,4.639956,16.971367,0.000875,15.890492,16.952241,1.617082,1.477833,600,600,39.746563,1.344249,0.294208,41.385020,317,317,317,1.000000,0.979167,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,162,0.511041,0.750000,0.525015,-0.126352,10.008953
60,2575131484561,1,xfeat_star_fine,stereo,39.209313,23.071155,4.730164,4.639956,16.971367,0.000875,15.890492,16.952241,1.617082,1.477833,600,600,39.746563,1.344249,0.443167,54.644098,289,289,287,0.993080,0.979167,0.000000,1.535706,13.110119,0.519209,0.001292,11.545244,1.043833,167,0.577855,0.791667,0.643863,-0.004717,16.049242
60,2575131484561,1,orb_cpu,stereo,63.423426,65.336966,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,600,596,65.608008,15.625284,2.029957,83.263249,417,365,344,0.824940,0.333333,0.000000,1.727997,0.000000,0.000000,0.000000,0.000000,0.000000,333,0.798561,0.333333,0.933839,0.590659,6.529122
61,2575221484144,1,xfeat_star_coarse,stereo,39.728938,22.929363,5.596538,4.439581,15.488825,0.001458,16.804575,16.573700,1.838708,1.914374,600,600,40.060271,1.527458,0.338875,41.926604,319,319,319,1.000000,0.979167,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,154,0.482759,0.770833,0.482653,-0.191928,6.256622
61,2575221484144,1,xfeat_star_fine,stereo,39.728938,22.929363,5.596538,4.439581,15.488825,0.001458,16.804575,16.573700,1.838708,1.914374,600,600,40.060271,1.527458,0.231334,53.011141,292,292,291,0.996575,0.979167,0.000000,1.467407,11.192078,0.245834,0.000625,9.962620,0.982708,166,0.568493,0.812500,0.628125,0.030024,5.609497
61,2575221484144,1,orb_cpu,stereo,66.430341,60.108594,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,600,600,66.660133,10.143078,2.059624,78.862835,413,373,372,0.900726,0.333333,0.000000,1.727997,0.000000,0.000000,0.000000,0.000000,0.000000,359,0.869249,0.333333,0.935457,0.602736,7.846871
61,2575221484144,1,xfeat_guided,temporal,39.209313,39.728938,4.730164,5.596538,16.971367,15.488825,15.890492,16.804575,1.617082,1.838708,600,600,78.938251,3.427373,0.779999,83.145623,370,367,367,0.991892,1.000000,0.000000,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,nan,nan,0.000000
61,2575221484144,1,orb_cpu,temporal,63.423426,66.430341,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,600,600,129.853767,10.043912,0.826292,140.723971,526,518,518,0.984791,0.354167,0.000000,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,nan,nan,0.000000
70,2576211494853,1,xfeat_star_coarse,stereo,38.818189,23.940988,4.348581,4.301373,16.868075,0.000917,15.911158,16.855325,1.690208,2.782998,600,600,39.110105,1.601166,0.456583,41.167854,315,315,315,1.000000,0.979167,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,152,0.482540,0.750000,0.493816,-0.211156,6.350247
70,2576211494853,1,xfeat_star_fine,stereo,38.818189,23.940988,4.348581,4.301373,16.868075,0.000917,15.911158,16.855325,1.690208,2.782998,600,600,39.110105,1.601166,0.229667,51.523474,292,292,291,0.996575,0.979167,0.000000,1.504028,10.582536,0.236417,0.000625,9.292787,1.052541,170,0.582192,0.812500,0.632462,-0.071834,8.572329
70,2576211494853,1,orb_cpu,stereo,64.939258,66.484050,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,600,599,66.936757,12.232494,2.018374,81.187625,408,369,367,0.899510,0.333333,0.000000,1.727997,0.000000,0.000000,0.000000,0.000000,0.000000,354,0.867647,0.333333,0.932087,0.623808,7.794204
71,2576301492853,1,xfeat_star_coarse,stereo,23.323238,39.412979,4.098123,4.087623,0.001125,17.704408,17.729866,15.881658,1.493791,1.739124,600,600,39.762147,1.645291,0.270833,41.678271,316,316,316,1.000000,0.958333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,148,0.468354,0.708333,0.472834,-0.219595,6.317830
71,2576301492853,1,xfeat_star_fine,stereo,23.323238,39.412979,4.098123,4.087623,0.001125,17.704408,17.729866,15.881658,1.493791,1.739124,600,600,39.762147,1.645291,0.306458,52.315766,300,300,300,1.000000,0.958333,0.000000,1.488564,10.601870,0.258334,0.000625,9.294620,1.048125,173,0.576667,0.812500,0.610840,-0.069986,9.846204
71,2576301492853,1,orb_cpu,stereo,68.871548,63.628550,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,600,600,69.098881,13.452410,2.663957,85.215248,424,370,367,0.865566,0.333333,0.000000,1.727997,0.000000,0.000000,0.000000,0.000000,0.000000,350,0.825472,0.333333,0.929648,0.569531,8.130163
71,2576301492853,1,xfeat_guided,temporal,38.818189,23.323238,4.348581,4.098123,16.868075,0.001125,15.911158,17.729866,1.690208,1.493791,600,600,62.141427,3.421915,0.783042,66.346384,376,371,371,0.986702,1.000000,0.000000,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,nan,nan,0.000000
71,2576301492853,1,orb_cpu,temporal,64.939258,68.871548,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,600,600,133.810806,10.048995,0.693125,144.552926,522,516,516,0.988506,0.354167,0.000000,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,nan,nan,0.000000
80,2577201491645,1,xfeat_star_coarse,stereo,39.058646,22.876446,4.677872,4.583497,16.786325,0.000667,15.913283,16.768908,1.680874,1.523124,600,600,39.515063,3.064124,0.634750,43.213937,315,315,315,1.000000,0.979167,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,168,0.533333,0.770833,0.537030,-0.123614,14.553451
80,2577201491645,1,xfeat_star_fine,stereo,39.058646,22.876446,4.677872,4.583497,16.786325,0.000667,15.913283,16.768908,1.680874,1.523124,600,600,39.515063,3.064124,0.228792,58.862054,291,291,289,0.993127,0.979167,0.000000,1.522148,16.054075,0.507792,0.002875,14.485159,1.057666,178,0.611684,0.791667,0.660910,0.041728,11.654369
80,2577201491645,1,orb_cpu,stereo,64.486967,64.431342,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,600,600,64.724717,21.731573,4.022832,90.479122,408,363,361,0.884804,0.333333,0.000000,1.727997,0.000000,0.000000,0.000000,0.000000,0.000000,344,0.843137,0.333333,0.937758,0.611902,13.200076
81,2577291484020,1,xfeat_star_coarse,stereo,21.969906,37.485022,4.489040,17.325325,0.001291,3.102124,15.996284,15.454825,1.483041,1.602457,600,600,37.850647,1.490291,0.378208,39.719146,305,305,305,1.000000,0.979167,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,159,0.521311,0.729167,0.551145,-0.201840,12.102160
