frame_index,stamp_ns,tracking_state,method,pair_type,extract_a_ms,extract_b_ms,preprocess_a_ms,preprocess_b_ms,bpu_queue_a_ms,bpu_queue_b_ms,bpu_a_ms,bpu_b_ms,postprocess_a_ms,postprocess_b_ms,keypoints_a,keypoints_b,extraction_wall_ms,match_ms,geometry_ms,end_to_end_pair_ms,matches,ransac_inliers,strict_inliers,strict_inlier_ratio,strict_grid_coverage,median_vertical_error_px,median_disparity_px,fine_total_ms,fine_preprocess_ms,fine_bpu_queue_ms,fine_bpu_ms,fine_postprocess_ms,photometric_inliers,photometric_inlier_ratio,photometric_grid_coverage,patch_ncc_median,patch_ncc_p10,photometric_ms
0,2569011476808,-1,xfeat_star_coarse,stereo,24.658688,42.721004,6.020328,5.968744,0.001083,16.915142,16.892600,18.153899,1.744427,1.682969,600,600,43.052214,1.381841,0.444752,44.878807,334,334,334,1.000000,0.979167,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,168,0.502994,0.750000,0.520672,-0.389721,11.787112
0,2569011476808,-1,xfeat_star_fine,stereo,24.658688,42.721004,6.020328,5.968744,0.001083,16.915142,16.892600,18.153899,1.744427,1.682969,600,600,43.052214,1.381841,0.306960,55.951457,321,321,318,0.990654,0.958333,0.000000,1.627930,11.210442,0.562753,0.001083,9.538723,1.107424,183,0.570093,0.750000,0.637557,-0.091691,15.649718
0,2569011476808,-1,orb_cpu,stereo,64.257923,66.746563,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,599,600,66.982481,20.009369,2.956184,89.948034,379,333,332,0.875989,0.354167,0.000000,1.727997,0.000000,0.000000,0.000000,0.000000,0.000000,318,0.839050,0.354167,0.929630,0.575860,7.184918
1,2569101470849,-1,xfeat_star_coarse,stereo,21.635753,38.203310,4.486068,5.620075,0.001083,14.523378,15.690968,15.960220,1.457384,2.099429,600,600,38.573688,1.726677,0.355044,40.655409,335,335,335,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,168,0.501493,0.770833,0.519717,-0.323354,6.524205
1,2569101470849,-1,xfeat_star_fine,stereo,21.635753,38.203310,4.486068,5.620075,0.001083,14.523378,15.690968,15.960220,1.457384,2.099429,600,600,38.573688,1.726677,0.308419,51.605933,328,328,325,0.990854,0.979167,0.000000,1.562164,10.997149,0.271710,0.000541,9.629558,1.095173,192,0.585366,0.750000,0.626042,-0.082277,11.345359
1,2569101470849,-1,orb_cpu,stereo,70.625461,64.877093,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,600,598,70.896421,10.092935,2.172721,83.162077,386,342,341,0.883420,0.333333,0.000000,1.728003,0.000000,0.000000,0.000000,0.000000,0.000000,322,0.834197,0.312500,0.934296,0.577358,7.410502
1,2569101470849,-1,xfeat_guided,temporal,24.658688,21.635753,6.020328,4.486068,0.001083,0.001083,16.892600,15.690968,1.744427,1.457384,600,600,46.294441,3.578313,0.681337,50.554091,384,383,383,0.997396,1.000000,0.000000,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,nan,nan,0.000000
1,2569101470849,-1,orb_cpu,temporal,64.257923,70.625461,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,599,600,134.883384,10.024560,0.677712,145.585656,519,517,517,0.996146,0.375000,0.000000,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,nan,nan,0.000000
10,2570001461725,-1,xfeat_star_coarse,stereo,20.882582,37.437430,3.965690,3.923898,0.000709,15.474883,15.450133,16.239763,1.465884,1.798677,600,600,37.772432,1.664301,0.357460,39.794193,345,345,345,1.000000,0.979167,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,160,0.463768,0.750000,0.464637,-0.340827,7.565295
10,2570001461725,-1,xfeat_star_fine,stereo,20.882582,37.437430,3.965690,3.923898,0.000709,15.474883,15.450133,16.239763,1.465884,1.798677,600,600,37.772432,1.664301,0.298877,53.265398,334,334,333,0.997006,0.979167,0.000000,1.649307,13.529788,0.385960,0.000875,11.995112,1.147507,181,0.541916,0.791667,0.584545,-0.094201,5.358531
10,2570001461725,-1,orb_cpu,stereo,62.717581,64.165380,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,599,600,64.414674,15.082548,3.944815,83.442037,371,333,331,0.892183,0.312500,0.000000,1.727997,0.000000,0.000000,0.000000,0.000000,0.000000,316,0.851752,0.312500,0.935809,0.614560,12.561908
