frame_id,stamp_ns,tracking_state,keypoints,valid_depths,valid_depth_ratio,depth_grid_coverage,tracked_inliers,feature_extract_ms,stereo_match_ms,frontend_ms,track_total_ms
0,2569011476808,2,607,169,0.278418,0.6875,169,65.189620,9.342024,74.531644,82.451288
1,2569101470849,2,604,170,0.281457,0.708333,134,61.132110,15.935289,77.067399,107.888309
2,2569191465849,2,604,156,0.258278,0.687500,131,64.125284,8.239562,72.364846,98.317619
3,2569371464141,2,606,158,0.260726,0.687500,126,60.156358,8.226729,68.383087,94.396818
4,2569461529016,2,602,168,0.279070,0.750000,126,59.164855,7.112726,66.277581,90.328516
5,2569551461141,2,604,157,0.259934,0.708333,139,59.139146,7.780853,66.919999,93.743650
6,2569641461516,2,604,175,0.289735,0.708333,130,56.339931,7.413268,63.753199,91.184268
7,2569731464350,2,604,161,0.266556,0.708333,125,56.761557,7.961395,64.722952,79.415614
8,2569821457141,2,604,162,0.268212,0.708333,128,67.067374,14.805953,81.873327,104.507384
9,2569911460433,2,605,166,0.274380,0.687500,133,55.074053,8.139937,63.213990,82.486413
10,2570001461725,2,607,157,0.258649,0.729167,132,66.635623,8.481313,75.116936,99.644997
11,2570181473058,2,606,163,0.268977,0.687500,134,57.400642,8.430438,65.831080,80.232032
12,2570271470767,2,603,159,0.263682,0.729167,138,63.266949,10.757444,74.024393,98.208535
13,2570361465975,2,609,156,0.256158,0.708333,119,57.977310,6.680058,64.657368,90.673725
14,2570451459767,2,601,164,0.272879,0.729167,134,66.609540,15.303371,81.912911,105.204469
15,2570541463475,2,604,192,0.317881,0.687500,133,56.114931,7.743227,63.858158,86.065047
16,2570631468559,2,604,166,0.274834,0.687500,130,65.036327,15.583955,80.620282,105.585262
17,2570721464559,2,603,172,0.285240,0.708333,140,59.309855,12.959782,72.269637,92.975230
18,2570811468850,2,604,178,0.294702,0.729167,136,63.722866,16.040498,79.763364,104.166550
19,2570991474350,2,603,156,0.258706,0.750000,125,59.471981,14.918204,74.390185,98.568869
20,2571081465434,2,602,165,0.274086,0.729167,123,59.015605,15.408496,74.424101,101.936336
21,2571171462517,2,605,163,0.269421,0.729167,135,58.208185,15.370080,73.578265,95.519487
22,2571261467517,2,603,154,0.255390,0.770833,135,67.478709,14.376536,81.855245,110.467273
23,2571351467392,2,603,159,0.263682,0.729167,133,61.757527,14.913828,76.671355,100.480374
24,2571441479059,2,604,155,0.256623,0.666667,129,57.818977,8.851313,66.670290,90.815725
25,2571531472601,2,605,161,0.266116,0.729167,129,59.180938,12.850198,72.031136,86.803256
26,2571711482392,2,607,146,0.240527,0.645833,130,62.233862,7.897352,70.131214,89.531263
27,2571801474351,2,604,157,0.259934,0.729167,123,63.035198,13.404241,76.439439,96.216279
28,2571891471934,2,607,175,0.288303,0.729167,126,58.506895,10.134942,68.641837,90.721808
29,2571981474059,2,603,169,0.280265,0.750000,127,64.550910,15.500996,80.051906,95.225152
30,2572071470309,2,603,165,0.273632,0.729167,118,56.640473,6.831225,63.471698,77.222857
31,2572161479393,2,605,150,0.247934,0.750000,121,64.280284,14.296702,78.576986,94.869693
32,2572251464934,2,604,155,0.256623,0.708333,124,63.550158,6.990850,70.541008,88.464219
33,2572431489934,2,607,162,0.266886,0.708333,118,63.035947,15.078495,78.114442,99.392704
34,2572521487934,2,606,151,0.249175,0.770833,126,62.395863,8.734813,71.130676,92.546104
35,2572611478059,2,602,168,0.279070,0.750000,120,67.993543,15.510872,83.504415,108.453393
36,2572701478018,2,607,167,0.275124,0.750000,118,60.991984,8.223978,69.215962,82.970539
37,2572791496351,2,605,165,0.272727,0.770833,119,65.032577,15.845664,80.878241,105.144093
38,2572881471310,2,609,171,0.280788,0.770833,119,61.378443,15.106454,76.484897,100.300748
39,2572971488893,2,606,166,0.273927,0.729167,122,59.824606,7.921269,67.745875,83.509498
40,2573151513851,2,606,167,0.275578,0.750000,129,60.088731,15.519830,75.608561,99.372203
41,2573241482810,2,604,163,0.269868,0.729167,121,59.028187,12.628864,71.657051,87.750508
42,2573331478518,2,603,166,0.275290,0.750000,123,58.127352,13.477450,71.604802,86.917548
43,2573421486268,2,604,175,0.289735,0.729167,127,65.158369,15.858122,81.016491,104.481050
44,2573511491102,2,602,155,0.257475,0.708333,116,59.396896,12.630281,72.027177,95.737195
45,2573601474310,2,601,165,0.274542,0.770833,118,57.385267,9.297773,66.683040,81.852452
46,2573691487018,2,603,170,0.281924,0.750000,124,69.160754,15.587871,84.748625,106.473262
47,2573871481185,2,603,157,0.260365,0.729167,128,58.925812,14.684911,73.610723,97.657199
48,2573961525810,2,603,153,0.253731,0.687500,120,58.878229,15.068829,73.947058,93.837565
49,2574051480560,2,606,154,0.254125,0.770833,124,62.673280,13.355324,76.028604,99.820580
50,2574141488394,2,604,166,0.274834,0.708333,124,57.553600,15.579289,73.132889,96.646613
51,2574231483935,2,605,165,0.272727,0.729167,124,64.513951,15.548913,80.062864,104.403715
52,2574321481352,2,600,155,0.258333,0.750000,120,59.310521,10.813610,70.124131,86.488713
53,2574411477269,2,601,160,0.266223,0.708333,116,56.369097,15.156454,71.525551,99.445120
54,2574501478227,2,606,162,0.267327,0.750000,126,60.494233,14.682953,75.177186,99.071119
55,2574681500269,2,605,159,0.262810,0.708333,123,55.765387,8.454521,64.219908,80.976742
56,2574771485352,2,605,170,0.280992,0.750000,119,63.278573,15.755914,79.034487,103.991547
57,2574861490436,2,604,187,0.309603,0.687500,133,60.848899,17.107709,77.956608,100.699664
58,2574951491436,2,604,162,0.268212,0.687500,122,60.072231,8.323270,68.395501,84.549333
59,2575041485936,2,603,156,0.258706,0.708333,125,65.070118,6.836350,71.906468,87.475132
60,2575131484561,2,604,158,0.261589,0.687500,132,62.617862,7.260892,69.878754,86.404087
61,2575221484144,2,603,166,0.275290,0.750000,134,62.396987,15.937789,78.334776,102.937170
62,2575401483186,2,604,148,0.245033,0.750000,131,59.837897,14.489078,74.326975,98.692827
63,2575491485852,2,604,171,0.283113,0.791667,133,60.670607,15.543497,76.214104,101.646500
64,2575581484394,2,602,154,0.255814,0.687500,126,62.636112,8.032270,70.668382,87.466173
65,2575671476686,2,603,161,0.266998,0.666667,129,65.267328,8.482812,73.750140,90.779140
66,2575761490436,2,602,156,0.259136,0.750000,120,60.493357,10.106941,70.600298,93.366396
67,2575851483061,2,603,160,0.265340,0.750000,127,62.032610,15.312288,77.344898,99.518828
68,2575941489311,2,606,154,0.254125,0.708333,117,60.839816,8.114479,68.954295,82.632203
69,2576121486519,2,602,153,0.254153,0.750000,119,65.284035,11.753363,77.037398,103.724671
70,2576211494853,2,607,160,0.263591,0.708333,117,61.676818,7.962103,69.638921,85.070334
71,2576301492853,2,606,175,0.288779,0.750000,123,61.943485,12.651406,74.594891,95.025192
72,2576391492270,2,607,152,0.250412,0.708333,129,63.593490,14.779620,78.373110,102.893670
73,2576481495020,2,607,168,0.276771,0.729167,128,61.792235,8.482521,70.274756,86.276212
74,2576571485770,2,607,159,0.261944,0.687500,131,64.133616,11.965488,76.099104,95.599110
75,2576661489895,2,601,150,0.249584,0.750000,124,60.964691,10.573235,71.537926,93.570146
76,2576751496520,2,604,155,0.256623,0.708333,125,63.849073,14.577536,78.426609,105.595092
77,2576931498687,2,604,146,0.241722,0.729167,117,60.206690,6.670350,66.877040,91.739017
