frame_index,stamp_ns,tracking_state,method,pair_type,extract_a_ms,extract_b_ms,preprocess_a_ms,preprocess_b_ms,bpu_queue_a_ms,bpu_queue_b_ms,bpu_a_ms,bpu_b_ms,postprocess_a_ms,postprocess_b_ms,keypoints_a,keypoints_b,extraction_wall_ms,match_ms,geometry_ms,end_to_end_pair_ms,matches,ransac_inliers,strict_inliers,strict_inlier_ratio,strict_grid_coverage,median_vertical_error_px,median_disparity_px,fine_total_ms,fine_preprocess_ms,fine_bpu_queue_ms,fine_bpu_ms,fine_postprocess_ms,photometric_inliers,photometric_inlier_ratio,photometric_grid_coverage,patch_ncc_median,patch_ncc_p10,photometric_ms
0,2569101470849,-1,xfeat_guided,stereo,42.599155,62.582379,8.660695,8.612029,0.001000,17.633844,17.654636,16.242075,16.282532,20.094139,600,600,64.189936,1.198523,10.126297,75.514756,252,205,205,0.813492,0.625000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,165,0.654762,0.604167,0.760158,0.180452,19.462940
0,2569101470849,-1,orb_cpu,stereo,72.352765,65.470917,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,600,598,72.613636,20.845085,4.290515,97.749236,386,342,341,0.883420,0.333333,0.000000,1.728003,0.000000,0.000000,0.000000,0.000000,0.000000,322,0.834197,0.312500,0.934296,0.577358,10.417126
1,2569191465849,-1,xfeat_guided,stereo,55.827653,35.017234,4.758716,4.680967,15.676333,0.000750,15.909997,15.639084,19.482482,14.696224,600,600,57.372379,1.265147,2.456836,61.094362,244,207,207,0.848361,0.625000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,168,0.688525,0.604167,0.792038,0.099370,4.949755
1,2569191465849,-1,orb_cpu,stereo,64.777094,66.429610,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,597,600,66.740271,10.027465,1.940427,78.708163,367,330,330,0.899183,0.354167,0.000000,1.600006,0.000000,0.000000,0.000000,0.000000,0.000000,315,0.858311,0.354167,0.933982,0.626796,6.989764
1,2569191465849,-1,xfeat_guided,temporal,42.599155,55.827653,8.660695,4.758716,0.001000,15.676333,17.654636,15.909997,16.282532,19.482482,600,600,98.426808,3.537985,2.123008,104.087801,429,383,383,0.892774,0.750000,0.000000,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,nan,nan,0.000000
1,2569191465849,-1,orb_cpu,temporal,72.352765,64.777094,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,600,597,137.129859,11.423943,0.639115,149.192917,524,520,520,0.992366,0.395833,0.000000,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,nan,nan,0.000000
