frame_index,stamp_ns,tracking_state,method,pair_type,extract_a_ms,extract_b_ms,preprocess_a_ms,preprocess_b_ms,bpu_queue_a_ms,bpu_queue_b_ms,bpu_a_ms,bpu_b_ms,postprocess_a_ms,postprocess_b_ms,keypoints_a,keypoints_b,extraction_wall_ms,match_ms,geometry_ms,end_to_end_pair_ms,matches,ransac_inliers,strict_inliers,strict_inlier_ratio,strict_grid_coverage,median_vertical_error_px,median_disparity_px,fine_total_ms,fine_preprocess_ms,fine_bpu_queue_ms,fine_bpu_ms,fine_postprocess_ms,photometric_inliers,photometric_inlier_ratio,photometric_grid_coverage,patch_ncc_median,patch_ncc_p10,photometric_ms
0,2569011476808,-1,xfeat_star_coarse,stereo,47.271564,30.863320,11.206817,11.114984,18.179874,0.001041,16.029161,18.151374,1.855129,1.595296,600,600,47.619857,1.382670,0.441876,49.444403,334,334,334,1.000000,0.979167,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,168,0.502994,0.750000,0.520672,-0.389721,22.950385
0,2569011476808,-1,xfeat_star_fine,stereo,47.271564,30.863320,11.206817,11.114984,18.179874,0.001041,16.029161,18.151374,1.855129,1.595296,600,600,47.619857,1.382670,0.306542,60.876262,321,321,318,0.990654,0.958333,0.000000,1.627930,11.567193,0.863794,0.001333,9.603939,1.097377,183,0.570093,0.750000,0.637557,-0.091691,19.912337
0,2569011476808,-1,orb_cpu,stereo,69.198864,63.985310,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,599,600,69.431614,25.562099,2.269714,97.263427,379,333,332,0.875989,0.354167,0.000000,1.727997,0.000000,0.000000,0.000000,0.000000,0.000000,318,0.839050,0.354167,0.929630,0.575860,7.259933
1,2569101470849,-1,xfeat_star_coarse,stereo,21.635882,38.234836,4.440052,5.489638,0.001250,14.658241,15.754035,15.986661,1.440253,2.100046,600,600,38.724837,3.057341,0.603627,42.385805,335,335,335,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,168,0.501493,0.770833,0.519717,-0.323354,13.147196
1,2569101470849,-1,xfeat_star_fine,stereo,21.635882,38.234836,4.440052,5.489638,0.001250,14.658241,15.754035,15.986661,1.440253,2.100046,600,600,38.724837,3.057341,0.307292,52.878161,328,328,325,0.990854,0.979167,0.000000,1.562164,10.788691,0.365001,0.001375,9.342729,1.079294,192,0.585366,0.750000,0.626042,-0.082277,11.371484
1,2569101470849,-1,orb_cpu,stereo,70.312283,62.707933,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,600,598,70.544408,20.076504,2.172588,92.793500,386,342,341,0.883420,0.333333,0.000000,1.728003,0.000000,0.000000,0.000000,0.000000,0.000000,322,0.834197,0.312500,0.934296,0.577358,7.323725
1,2569101470849,-1,xfeat_guided,temporal,47.271564,21.635882,11.206817,4.440052,18.179874,0.001250,16.029161,15.754035,1.855129,1.440253,600,600,68.907446,3.646092,0.677043,73.230581,384,383,383,0.997396,1.000000,0.000000,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,nan,nan,0.000000
1,2569101470849,-1,orb_cpu,temporal,69.198864,70.312283,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,599,600,139.511147,11.474151,0.712376,151.697674,519,517,517,0.996146,0.375000,0.000000,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,nan,nan,0.000000
10,2570001461725,-1,xfeat_star_coarse,stereo,23.041760,38.698586,4.084134,4.057675,0.001083,17.119830,17.116747,15.858744,1.839629,1.662170,600,600,39.020921,1.686920,0.363209,41.071050,345,345,345,1.000000,0.979167,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,160,0.463768,0.750000,0.464637,-0.340827,6.944932
10,2570001461725,-1,xfeat_star_fine,stereo,23.041760,38.698586,4.084134,4.057675,0.001083,17.119830,17.116747,15.858744,1.839629,1.662170,600,600,39.020921,1.686920,0.304917,51.738115,334,334,333,0.997006,0.979167,0.000000,1.649307,10.725357,0.286542,0.000750,9.311979,1.125919,181,0.541916,0.791667,0.584545,-0.094201,11.013400
10,2570001461725,-1,orb_cpu,stereo,67.351234,62.965433,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,599,600,67.722860,20.291879,2.064505,90.079244,371,333,331,0.892183,0.312500,0.000000,1.727997,0.000000,0.000000,0.000000,0.000000,0.000000,316,0.851752,0.312500,0.935809,0.614560,7.006432
11,2570181473058,-1,xfeat_star_coarse,stereo,22.733426,38.762962,3.978009,3.956967,0.001083,17.301039,17.306497,15.874160,1.447420,1.630629,600,600,39.180505,1.649504,0.464376,41.294385,332,332,332,1.000000,0.979167,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,157,0.472892,0.750000,0.474767,-0.374532,6.618140
11,2570181473058,-1,xfeat_star_fine,stereo,22.733426,38.762962,3.978009,3.956967,0.001083,17.301039,17.306497,15.874160,1.447420,1.630629,600,600,39.180505,1.649504,0.624210,53.430663,324,324,322,0.993827,0.979167,0.000000,1.717194,11.976444,0.273292,0.000875,9.757814,1.944296,179,0.552469,0.770833,0.604594,-0.140693,12.564445
11,2570181473058,-1,orb_cpu,stereo,66.503274,68.572570,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,600,600,68.822738,18.940293,2.601006,90.364037,371,322,320,0.862534,0.312500,0.000000,1.727997,0.000000,0.000000,0.000000,0.000000,0.000000,305,0.822102,0.291667,0.938222,0.607757,7.041849
11,2570181473058,-1,xfeat_guided,temporal,23.041760,22.733426,4.084134,3.978009,0.001083,0.001083,17.116747,17.306497,1.839629,1.447420,600,600,45.775186,3.658217,0.699960,50.133363,384,378,378,0.984375,1.000000,0.000000,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,nan,nan,0.000000
11,2570181473058,-1,orb_cpu,temporal,67.351234,66.503274,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,599,600,133.854508,10.029189,0.578793,144.462490,521,517,517,0.992322,0.375000,0.000000,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,nan,nan,0.000000
20,2571081465434,-1,xfeat_star_coarse,stereo,45.510769,29.247357,10.623274,10.435398,17.339539,0.000750,15.908369,17.321997,1.639421,1.489045,600,600,46.035561,4.393468,0.851502,51.280531,349,349,349,1.000000,0.979167,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,160,0.458453,0.687500,0.469977,-0.271686,20.872797
20,2571081465434,-1,xfeat_star_fine,stereo,45.510769,29.247357,10.623274,10.435398,17.339539,0.000750,15.908369,17.321997,1.639421,1.489045,600,600,46.035561,4.393468,0.306834,63.670559,332,332,332,1.000000,0.979167,0.000000,1.647209,12.934696,0.358501,0.001041,11.439901,1.134961,184,0.554217,0.687500,0.605430,-0.070339,16.973496
20,2571081465434,-1,orb_cpu,stereo,65.152854,67.057525,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,600,599,67.289900,20.128087,3.022340,90.440327,395,361,361,0.913924,0.333333,0.000000,1.727997,0.000000,0.000000,0.000000,0.000000,0.000000,345,0.873418,0.333333,0.936223,0.642194,7.707851
21,2571171462517,-1,xfeat_star_coarse,stereo,22.284175,38.884837,4.721803,4.664719,0.000958,15.894243,15.871327,16.663329,1.689879,1.662337,600,600,39.386296,1.357087,0.395001,41.138384,340,340,340,1.000000,0.979167,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,165,0.485294,0.791667,0.502018,-0.231287,8.879770
21,2571171462517,-1,xfeat_star_fine,stereo,22.284175,38.884837,4.721803,4.664719,0.000958,15.894243,15.871327,16.663329,1.689879,1.662337,600,600,39.386296,1.357087,0.304709,53.849537,328,328,326,0.993902,0.979167,0.000000,1.570930,12.801445,0.356376,0.000792,11.323692,1.120294,191,0.582317,0.854167,0.606577,-0.018250,11.729943
21,2571171462517,-1,orb_cpu,stereo,67.638068,62.247181,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,599,600,67.869402,19.574294,2.301588,89.745284,403,357,356,0.883375,0.333333,0.000000,1.440002,0.000000,0.000000,0.000000,0.000000,0.000000,338,0.838710,0.333333,0.934257,0.557285,7.676267
21,2571171462517,-1,xfeat_guided,temporal,45.510769,22.284175,10.623274,4.721803,17.339539,0.000958,15.908369,15.871327,1.639421,1.689879,600,600,67.794944,3.562425,0.871377,72.228746,384,377,377,0.981771,1.000000,0.000000,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,nan,nan,0.000000
21,2571171462517,-1,orb_cpu,temporal,65.152854,67.638068,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,600,599,132.790922,10.065981,0.699377,143.556280,526,525,525,0.998099,0.354167,0.000000,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,nan,nan,0.000000
30,2572071470309,1,xfeat_star_coarse,stereo,21.502882,38.038293,3.936718,3.955092,0.000959,15.859994,15.898535,16.550995,1.666379,1.672087,600,600,38.395086,1.669170,0.370418,40.434674,346,346,346,1.000000,0.979167,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,176,0.508671,0.812500,0.523143,-0.196436,6.784390
30,2572071470309,1,xfeat_star_fine,stereo,21.502882,38.038293,3.936718,3.955092,0.000959,15.859994,15.898535,16.550995,1.666379,1.672087,600,600,38.395086,1.669170,0.803460,51.926741,338,338,334,0.988166,0.979167,0.000000,1.597679,11.059025,0.248584,0.000708,9.314354,1.495212,197,0.582840,0.770833,0.609856,-0.033123,12.956779
30,2572071470309,1,orb_cpu,stereo,64.047185,65.613314,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,600,600,66.027231,17.199330,2.274921,85.501482,395,353,352,0.891139,0.333333,0.000000,1.727997,0.000000,0.000000,0.000000,0.000000,0.000000,333,0.843038,0.333333,0.933896,0.573164,7.599684
31,2572161479393,1,xfeat_star_coarse,stereo,38.688878,22.726759,3.971842,3.929509,17.259372,0.000875,15.860994,17.238831,1.596462,1.557336,600,600,38.990128,1.671420,0.371125,41.032673,354,354,354,1.000000,0.979167,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,180,0.508475,0.812500,0.523514,-0.151457,7.077725
31,2572161479393,1,xfeat_star_fine,stereo,38.688878,22.726759,3.971842,3.929509,17.259372,0.000875,15.860994,17.238831,1.596462,1.557336,600,600,38.990128,1.671420,0.309084,51.730073,348,348,347,0.997126,0.979167,0.000000,1.537720,10.759441,0.292376,0.000625,9.302312,1.164003,206,0.591954,0.854167,0.621587,0.020228,7.889226
31,2572161479393,1,orb_cpu,stereo,61.613679,64.638436,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,600,600,64.886186,10.352482,2.276255,77.514923,411,365,364,0.885645,0.333333,0.000000,1.727997,0.000000,0.000000,0.000000,0.000000,0.000000,347,0.844282,0.333333,0.932741,0.609955,7.895393
31,2572161479393,1,xfeat_guided,temporal,21.502882,38.688878,3.936718,3.971842,0.000959,17.259372,15.898535,15.860994,1.666379,1.596462,600,600,60.191760,3.445007,0.873877,64.510644,384,379,379,0.986979,1.000000,0.000000,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,nan,nan,0.000000
31,2572161479393,1,orb_cpu,temporal,64.047185,61.613679,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,600,600,125.660864,10.084231,1.138795,136.883890,546,540,540,0.989011,0.354167,0.000000,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,nan,nan,0.000000
40,2573151513851,1,xfeat_star_coarse,stereo,23.508719,39.489671,4.746760,4.639885,0.001333,17.308831,17.299206,15.859243,1.461253,1.681087,600,600,40.038381,1.386128,0.310125,41.734634,346,346,346,1.000000,0.979167,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,169,0.488439,0.729167,0.500234,-0.185046,11.277776
40,2573151513851,1,xfeat_star_fine,stereo,23.508719,39.489671,4.746760,4.639885,0.001333,17.308831,17.299206,15.859243,1.461253,1.681087,600,600,40.038381,1.386128,0.305709,54.072454,329,329,326,0.990881,0.979167,0.000000,1.542080,12.342236,0.551709,0.001208,10.617441,1.171336,195,0.592705,0.770833,0.648499,-0.045372,16.976788
40,2573151513851,1,orb_cpu,stereo,63.716017,64.770228,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,600,600,65.018354,20.178503,3.524091,88.720948,407,354,353,0.867322,0.333333,0.000000,1.520004,0.000000,0.000000,0.000000,0.000000,0.000000,338,0.830467,0.333333,0.935424,0.588273,7.736226
