method,frame_index,stamp_ns,orb_tracking_ok,extract_pair_ms,temporal_match_ms,temporal_matches,temporal_ransac_inliers,temporal_ransac_ratio,temporal_coverage,stereo_matches,stereo_geometric_depths,stereo_ncc_depths,stereo_ncc_ratio,stereo_ncc_coverage,stereo_ncc_median,pnp_candidates,pnp_success,pnp_inliers,pnp_inlier_ratio,pnp_reprojection_median_px,pnp_reprojection_p90_px,pnp_grid_coverage,relative_translation_m,relative_rotation_rad,pnp_ms
xfeat_grid16_fine,1,2569101470849,,203.45279306638986,12.488490028772503,352,351,0.9971590909090909,1.0,247,247,181,0.7327935222672065,0.7083333333333334,0.7947560548782349,142,1,122,0.8591549295774648,0.5592385530471802,1.0366560220718384,0.625,0.0021761030635238563,0.0037202724248718917,1.284805010072887
xfeat_grid16_fine,11,2570181473058,,205.1105599384755,13.824059977196157,351,349,0.9943019943019943,1.0,243,243,175,0.720164609053498,0.7083333333333334,0.7669072151184082,140,1,125,0.8928571428571429,0.6293436288833618,1.0486764192581177,0.6666666666666666,0.0008615319954867422,0.0038429876216258636,0.9316040086559951
xfeat_grid16_fine,21,2571171462517,True,203.2972130109556,12.419637001585215,331,329,0.9939577039274925,0.8958333333333334,239,238,166,0.694560669456067,0.7083333333333334,0.7595385313034058,134,1,113,0.8432835820895522,0.5131627917289734,0.9225371599197387,0.5416666666666666,0.004303240615162288,0.004357080479815221,1.150171970948577
xfeat_grid16_fine,31,2572161479393,True,204.2216929839924,12.597075023222715,330,327,0.990909090909091,0.9166666666666666,255,255,173,0.6784313725490196,0.75,0.7308700680732727,137,1,114,0.8321167883211679,0.42349785566329956,0.8688322126865388,0.5416666666666666,0.012529980627232653,0.004050458749314712,1.1769869597628713
xfeat_grid16_fine,41,2573241482810,True,205.60474699595943,13.481125002726912,337,333,0.9881305637982196,0.9375,236,235,167,0.7076271186440678,0.75,0.7725728750228882,136,1,127,0.9338235294117647,0.5862712860107422,0.9428629279136658,0.6666666666666666,0.0006120467725072802,0.0038687863524075636,0.8232980035245419
xfeat_grid16_fine,51,2574231483935,True,202.25967501755804,12.653638026677072,336,335,0.9970238095238095,0.9375,251,249,174,0.6932270916334662,0.75,0.7255488634109497,140,1,123,0.8785714285714286,0.4517122805118561,0.8798529863357544,0.5833333333333334,0.006113416473923051,0.0042831210244264695,1.05960201472044
xfeat_grid16_fine,61,2575221484144,True,203.93971900921315,13.609751011244953,334,333,0.9970059880239521,0.9375,250,249,170,0.68,0.7291666666666666,0.7543894052505493,137,1,124,0.9051094890510949,0.5613074898719788,0.9594871222972869,0.5833333333333334,0.0036813440076063526,0.003993698778186201,0.8857260108925402
xfeat_grid16_fine,71,2576301492853,True,201.36647898470983,12.458952027373016,338,336,0.9940828402366864,0.9166666666666666,245,243,173,0.7061224489795919,0.75,0.7676947712898254,142,1,129,0.9084507042253521,0.5431805849075317,0.944382405281067,0.6041666666666666,0.005839858219926076,0.004271182887391567,0.9026239858940244
xfeat_grid16_fine,81,2577291484020,True,203.73679202748463,12.753005954436958,333,329,0.987987987987988,0.9375,249,247,176,0.7068273092369478,0.7083333333333334,0.7254238724708557,135,1,131,0.9703703703703703,0.5722588300704956,0.9402590990066528,0.7083333333333334,0.0005355504495565907,0.00391093451620185,0.757167988922447
xfeat_grid16_fine,91,2578281501270,True,202.536690980196,12.784848979208618,334,327,0.9790419161676647,0.9375,248,245,173,0.6975806451612904,0.7291666666666666,0.7564759254455566,137,1,115,0.8394160583941606,0.45509183406829834,0.9027460098266602,0.5416666666666666,0.01351202279165815,0.004280024750910429,1.1341110221110284
