method,pair_type,frame_index,stamp_sec,bag_time_sec,delta_time_sec,orb_slam_tracking_ok,keypoints_a,keypoints_b,matches,ransac_inliers,ransac_inlier_ratio,strict_inliers,strict_inlier_ratio,strict_grid_coverage,match_latency_ms,median_vertical_error_px,median_disparity_px,rectified_inliers,rectified_inlier_ratio
xfeat,stereo,111,2580.351508313,1780624756.2467468,0.0,True,1024,1024,615,432,0.7024390243902439,404,0.656910569105691,0.6875,4.10510299843736,1.0,9.0,503,0.8178861788617886
xfeat,temporal,111,2580.351508313,1780624756.2467468,0.09000508300005094,True,1024,1024,592,410,0.6925675675675675,410,0.6925675675675675,0.6666666666666666,3.4005880006588995,4.0,nan,0,0.0
orb,stereo,111,2580.351508313,1780624756.2467468,0.0,True,962,904,599,537,0.8964941569282137,533,0.8898163606010017,0.4791666666666667,3.3730739960446954,0.0,1.727996826171875,546,0.9115191986644408
orb,temporal,111,2580.351508313,1780624756.2467468,0.09000508300005094,True,954,962,643,522,0.8118195956454122,522,0.8118195956454122,0.3958333333333333,2.7247020043432713,1.44000244140625,nan,0,0.0
xfeat,stereo,120,2581.341517064,1780624757.1725528,0.0,True,1024,1024,616,404,0.6558441558441559,380,0.6168831168831169,0.6041666666666666,3.1602319795638323,1.0,5.0,487,0.7905844155844156
orb,stereo,120,2581.341517064,1780624757.1725528,0.0,True,913,839,571,518,0.9071803852889667,517,0.9054290718038529,0.4791666666666667,2.67491300473921,0.0,1.791595458984375,537,0.9404553415061296
xfeat,stereo,121,2581.43151048,1780624757.27392,0.0,True,1024,1024,597,440,0.7370184254606366,416,0.6968174204355109,0.5833333333333334,3.4585469984449446,1.0,10.0,471,0.7889447236180904
xfeat,temporal,121,2581.43151048,1780624757.27392,0.08999341599974287,True,1024,1024,646,411,0.6362229102167183,411,0.6362229102167183,0.5625,3.0012289935257286,2.0,nan,0,0.0
orb,stereo,121,2581.43151048,1780624757.27392,0.0,True,924,839,570,517,0.9070175438596492,509,0.8929824561403509,0.5416666666666666,2.319057995919138,0.0,2.0,520,0.9122807017543859
orb,temporal,121,2581.43151048,1780624757.27392,0.08999341599974287,True,913,924,626,537,0.8578274760383386,537,0.8578274760383386,0.4583333333333333,2.9281169991008937,1.0,nan,0,0.0
xfeat,stereo,130,2582.331513856,1780624758.1979558,0.0,True,1024,1024,616,437,0.7094155844155844,411,0.6672077922077922,0.6666666666666666,3.35945698316209,1.0,6.0,470,0.762987012987013
orb,stereo,130,2582.331513856,1780624758.1979558,0.0,True,925,833,533,476,0.8930581613508443,474,0.8893058161350844,0.5625,2.379879995714873,0.0,2.0,488,0.9155722326454033
xfeat,stereo,131,2582.421519397,1780624758.305174,0.0,True,1024,1024,574,408,0.710801393728223,378,0.6585365853658537,0.6666666666666666,3.566084982594475,1.0,5.0,429,0.7473867595818815
xfeat,temporal,131,2582.421519397,1780624758.305174,0.09000554099975488,True,1024,1024,581,364,0.6265060240963856,364,0.6265060240963856,0.6458333333333334,3.2145600125659257,2.0,nan,0,0.0
orb,stereo,131,2582.421519397,1780624758.305174,0.0,True,925,843,521,475,0.9117082533589251,472,0.9059500959692899,0.625,2.6390900020487607,0.0,2.0,478,0.9174664107485605
orb,temporal,131,2582.421519397,1780624758.305174,0.09000554099975488,True,925,925,561,475,0.8467023172905526,475,0.8467023172905526,0.5416666666666666,2.9459240031428635,0.0,nan,0,0.0
xfeat,stereo,140,2583.321508481,1780624759.2273426,0.0,True,1024,1024,575,427,0.7426086956521739,394,0.6852173913043478,0.7291666666666666,3.164632013067603,1.0,4.0,440,0.7652173913043478
orb,stereo,140,2583.321508481,1780624759.2273426,0.0,True,888,836,517,471,0.9110251450676983,468,0.9052224371373307,0.5625,1.9600609957706183,0.0,2.0,477,0.9226305609284333
xfeat,stereo,141,2583.41150894,1780624759.3298035,0.0,True,1024,1024,582,407,0.6993127147766323,377,0.647766323024055,0.7708333333333334,4.579669010126963,1.0,3.0,423,0.7268041237113402
xfeat,temporal,141,2583.41150894,1780624759.3298035,0.09000045900029363,True,1024,1024,599,406,0.67779632721202,406,0.67779632721202,0.6875,3.503587009618059,1.0,nan,0,0.0
orb,stereo,141,2583.41150894,1780624759.3298035,0.0,True,914,824,510,468,0.9176470588235294,460,0.9019607843137255,0.5625,2.422545978333801,0.0,2.0,464,0.9098039215686274
orb,temporal,141,2583.41150894,1780624759.3298035,0.09000045900029363,True,888,914,598,504,0.842809364548495,504,0.842809364548495,0.5416666666666666,2.3468509898521006,1.44000244140625,nan,0,0.0
xfeat,stereo,150,2584.40151594,1780624760.2546282,0.0,True,1024,1024,600,425,0.7083333333333334,406,0.6766666666666666,0.6875,4.411447996972129,1.0,3.0,472,0.7866666666666666
orb,stereo,150,2584.40151594,1780624760.2546282,0.0,True,881,796,491,441,0.8981670061099797,437,0.890020366598778,0.4791666666666667,2.916594996349886,0.0,2.0,451,0.9185336048879837
xfeat,stereo,151,2584.491539523,1780624760.3568916,0.0,True,1024,1024,584,406,0.6952054794520548,380,0.6506849315068494,0.6666666666666666,3.161349013680592,1.0,3.0,443,0.7585616438356164
xfeat,temporal,151,2584.491539523,1780624760.3568916,0.0900235829999474,True,1024,1024,635,428,0.6740157480314961,428,0.6740157480314961,0.6458333333333334,3.1184739782474935,1.0,nan,0,0.0
orb,stereo,151,2584.491539523,1780624760.3568916,0.0,True,901,835,522,480,0.9195402298850575,478,0.9157088122605364,0.5208333333333334,2.061106002656743,0.0,2.0,491,0.9406130268199234
orb,temporal,151,2584.491539523,1780624760.3568916,0.0900235829999474,True,881,901,562,497,0.8843416370106761,497,0.8843416370106761,0.5416666666666666,2.1273749880492687,0.0,nan,0,0.0
xfeat,stereo,160,2585.391530899,1780624761.2845144,0.0,True,1024,1024,610,368,0.6032786885245902,340,0.5573770491803278,0.6666666666666666,4.145045997574925,1.0,5.0,463,0.759016393442623
orb,stereo,160,2585.391530899,1780624761.2845144,0.0,True,904,832,489,433,0.885480572597137,427,0.8732106339468303,0.5416666666666666,2.760245988611132,0.0,2.0,440,0.8997955010224948
xfeat,stereo,161,2585.481522149,1780624761.3861074,0.0,True,1024,1024,596,400,0.6711409395973155,378,0.6342281879194631,0.6666666666666666,3.2719600130803883,1.0,6.0,436,0.7315436241610739
xfeat,temporal,161,2585.481522149,1780624761.3861074,0.08999124999991182,True,1024,1024,603,393,0.6517412935323383,393,0.6517412935323383,0.6458333333333334,3.29339801101014,2.0,nan,0,0.0
orb,stereo,161,2585.481522149,1780624761.3861074,0.0,True,918,871,508,449,0.8838582677165354,447,0.8799212598425197,0.6041666666666666,2.881121006794274,0.0,2.0,458,0.9015748031496063
orb,temporal,161,2585.481522149,1780624761.3861074,0.08999124999991182,True,904,918,559,463,0.8282647584973166,463,0.8282647584973166,0.4791666666666667,2.9250440129544586,1.0,nan,0,0.0
xfeat,stereo,170,2586.381516566,1780624762.306558,0.0,True,1024,1024,580,381,0.656896551724138,358,0.6172413793103448,0.6875,3.7966640084050596,1.0,3.0,420,0.7241379310344828
orb,stereo,170,2586.381516566,1780624762.306558,0.0,True,878,807,494,435,0.8805668016194332,432,0.8744939271255061,0.4583333333333333,2.2173160105012357,0.0,2.0,448,0.9068825910931174
xfeat,stereo,171,2586.561521983,1780624762.408297,0.0,True,1024,1024,583,388,0.6655231560891939,359,0.6157804459691252,0.6458333333333334,4.784201009897515,1.0,4.0,436,0.7478559176672385
xfeat,temporal,171,2586.561521983,1780624762.408297,0.18000541700030226,True,1024,1024,518,339,0.6544401544401545,339,0.6544401544401545,0.6458333333333334,3.772852011024952,2.0,nan,0,0.0
