index,left_x,left_y,right_x,depth,octave,response,valid_depth
0,73.000000,125.000000,70.284706,6.488878,0,30.000000,1
1,79.000000,85.000000,75.743721,5.410842,0,36.000000,1
2,31.000000,104.000000,-1.000000,-1.000000,0,9.000000,0
3,237.000000,116.000000,-1.000000,-1.000000,0,24.000000,0
4,171.000000,138.000000,168.897980,8.382037,0,26.000000,1
5,226.000000,104.000000,-1.000000,-1.000000,0,149.000000,0
6,198.000000,108.000000,195.031250,5.934892,0,46.000000,1
7,210.000000,77.000000,-1.000000,-1.000000,0,22.000000,0
8,202.000000,65.000000,-1.000000,-1.000000,0,32.000000,0
9,170.000000,19.000000,-1.000000,-1.000000,0,51.000000,0
10,532.000000,259.000000,527.026062,3.542306,0,55.000000,1
11,505.000000,264.000000,500.544708,3.954671,0,21.000000,1
12,536.000000,230.000000,531.049561,3.559121,0,53.000000,1
13,485.000000,227.000000,480.065796,3.570832,0,105.000000,1
14,139.000000,462.000000,-1.000000,-1.000000,0,13.000000,0
15,118.000000,438.000000,-1.000000,-1.000000,0,10.000000,0
16,130.000000,405.000000,-1.000000,-1.000000,0,21.000000,0
17,108.000000,404.000000,-1.000000,-1.000000,0,20.000000,0
18,182.000000,206.000000,180.157288,9.561563,0,109.000000,1
19,242.000000,155.000000,-1.000000,-1.000000,0,24.000000,0
20,190.000000,161.000000,-1.000000,-1.000000,0,71.000000,0
21,318.000000,142.000000,315.292480,6.507510,0,101.000000,1
22,248.000000,134.000000,-1.000000,-1.000000,0,137.000000,0
23,306.000000,102.000000,-1.000000,-1.000000,0,48.000000,0
24,361.000000,202.000000,-1.000000,-1.000000,0,24.000000,0
25,337.000000,195.000000,-1.000000,-1.000000,0,49.000000,0
26,371.000000,163.000000,-1.000000,-1.000000,0,8.000000,0
27,337.000000,157.000000,335.070465,9.131326,0,148.000000,1
28,376.000000,31.000000,-1.000000,-1.000000,0,17.000000,0
29,320.000000,34.000000,-1.000000,-1.000000,0,14.000000,0
30,467.000000,374.000000,-1.000000,-1.000000,0,10.000000,0
31,415.000000,381.000000,410.956146,4.357035,0,20.000000,1
32,448.000000,339.000000,-1.000000,-1.000000,0,13.000000,0
33,413.000000,354.000000,-1.000000,-1.000000,0,14.000000,0
34,74.000000,179.000000,71.126450,6.131513,0,81.000000,1
35,72.000000,155.000000,69.224403,6.347900,0,80.000000,1
36,53.000000,160.000000,-1.000000,-1.000000,0,8.000000,0
37,607.000000,188.000000,605.297302,10.347821,0,79.000000,1
38,566.000000,184.000000,-1.000000,-1.000000,0,39.000000,0
39,594.000000,170.000000,592.130432,9.424216,0,43.000000,1
40,582.000000,170.000000,-1.000000,-1.000000,0,53.000000,0
41,219.000000,318.000000,204.380951,1.205223,0,9.000000,1
42,186.000000,312.000000,184.324326,10.514698,0,51.000000,1
43,191.000000,279.000000,189.174057,9.649376,0,62.000000,1
44,442.000000,59.000000,437.812225,4.207297,0,51.000000,1
45,432.000000,76.000000,428.061035,4.473056,0,22.000000,1
46,455.000000,39.000000,450.125488,3.614559,0,56.000000,1
47,427.000000,28.000000,-1.000000,-1.000000,0,21.000000,0
48,56.000000,70.000000,-1.000000,-1.000000,0,31.000000,0
49,34.000000,55.000000,29.952209,4.352797,0,44.000000,1
50,19.000000,45.000000,-1.000000,-1.000000,0,35.000000,0
51,449.000000,327.000000,432.565216,1.072068,0,18.000000,1
52,403.000000,332.000000,-1.000000,-1.000000,0,10.000000,0
53,442.000000,292.000000,433.921051,2.180879,0,10.000000,1
54,417.000000,285.000000,-1.000000,-1.000000,0,11.000000,0
55,620.000000,519.000000,-1.000000,-1.000000,0,51.000000,0
56,577.000000,504.000000,523.097839,0.326874,0,20.000000,1
57,604.000000,494.000000,-1.000000,-1.000000,0,24.000000,0
58,560.000000,477.000000,-1.000000,-1.000000,0,13.000000,0
59,521.000000,456.000000,477.178345,0.402066,0,30.000000,1
60,504.000000,445.000000,462.171326,0.421223,0,43.000000,1
61,512.000000,401.000000,-1.000000,-1.000000,0,10.000000,0
62,477.000000,417.000000,-1.000000,-1.000000,0,24.000000,0
63,440.000000,506.000000,-1.000000,-1.000000,0,13.000000,0
64,412.000000,518.000000,-1.000000,-1.000000,0,10.000000,0
65,442.000000,480.000000,437.271240,3.725969,0,18.000000,1
66,397.000000,489.000000,346.145325,0.346462,0,17.000000,1
67,70.000000,496.000000,-1.000000,-1.000000,0,14.000000,0
68,35.000000,512.000000,-1.000000,-1.000000,0,10.000000,0
69,87.000000,493.000000,-1.000000,-1.000000,0,13.000000,0
70,33.000000,494.000000,-1.000000,-1.000000,0,15.000000,0
71,211.000000,458.000000,-1.000000,-1.000000,0,13.000000,0
72,171.000000,460.000000,-1.000000,-1.000000,0,10.000000,0
73,227.000000,415.000000,-1.000000,-1.000000,0,21.000000,0
74,192.000000,428.000000,-1.000000,-1.000000,0,10.000000,0
75,454.000000,253.000000,449.112762,3.605147,0,29.000000,1
76,429.000000,241.000000,-1.000000,-1.000000,0,28.000000,0
77,463.000000,233.000000,457.968781,3.501976,0,153.000000,1
78,413.000000,230.000000,408.134338,3.621134,0,30.000000,1
79,531.000000,330.000000,525.206543,3.041226,0,10.000000,1
80,477.000000,328.000000,-1.000000,-1.000000,0,16.000000,0
81,531.000000,284.000000,525.978821,3.508979,0,50.000000,1
82,504.000000,278.000000,499.633942,4.035496,0,13.000000,1
83,155.000000,139.000000,152.751587,7.836287,0,60.000000,1
84,124.000000,115.000000,-1.000000,-1.000000,0,35.000000,0
85,114.000000,108.000000,111.084770,6.043850,0,38.000000,1
86,360.000000,521.000000,302.162994,0.304636,0,21.000000,1
87,328.000000,512.000000,-1.000000,-1.000000,0,15.000000,0
88,390.000000,487.000000,-1.000000,-1.000000,0,14.000000,0
89,339.000000,476.000000,-1.000000,-1.000000,0,8.000000,0
90,603.000000,390.000000,572.512817,0.577922,0,22.000000,1
91,549.000000,375.000000,522.742859,0.671026,0,14.000000,1
92,592.000000,353.000000,569.936829,0.798580,0,23.000000,1
93,583.000000,338.000000,-1.000000,-1.000000,0,12.000000,0
94,224.000000,508.000000,-1.000000,-1.000000,0,15.000000,0
95,183.000000,505.000000,-1.000000,-1.000000,0,51.000000,0
96,211.000000,480.000000,-1.000000,-1.000000,0,17.000000,0
97,194.000000,481.000000,-1.000000,-1.000000,0,12.000000,0
98,130.000000,517.000000,-1.000000,-1.000000,0,16.000000,0
99,129.000000,500.000000,-1.000000,-1.000000,0,13.000000,0
100,149.000000,488.000000,-1.000000,-1.000000,0,10.000000,0
101,104.000000,468.000000,-1.000000,-1.000000,0,11.000000,0
102,446.000000,455.000000,-1.000000,-1.000000,0,15.000000,0
103,433.000000,462.000000,-1.000000,-1.000000,0,17.000000,0
104,469.000000,414.000000,-1.000000,-1.000000,0,25.000000,0
105,430.000000,413.000000,-1.000000,-1.000000,0,17.000000,0
