method,frame_index,stamp_ns,orb_tracking_ok,extract_pair_ms,temporal_match_ms,temporal_matches,temporal_ransac_inliers,temporal_ransac_ratio,temporal_coverage,stereo_matches,stereo_geometric_depths,stereo_ncc_depths,stereo_ncc_ratio,stereo_ncc_coverage,stereo_ncc_median,pnp_candidates,pnp_success,pnp_inliers,pnp_inlier_ratio,pnp_reprojection_median_px,pnp_reprojection_p90_px,pnp_grid_coverage,relative_translation_m,relative_rotation_rad,pnp_ms
xfeat_global_fine,121,2581431510480,True,99.2184829665348,7.178956002462655,374,352,0.9411764705882353,0.3541666666666667,366,363,326,0.8907103825136612,0.5,0.8673529624938965,256,1,240,0.9375,0.5028547644615173,0.8655618369579314,0.3541666666666667,0.00707754397698284,0.0030324216325493853,1.0624649585224688
orb_control,121,2581431510480,True,10.474728012923151,1.9963739905506372,418,382,0.9138755980861244,0.4375,408,351,349,0.8553921568627451,0.4375,0.96092689037323,268,1,239,0.8917910447761194,0.7354763746261597,1.1989899635314942,0.3333333333333333,0.019264887636925857,0.005120535025191644,1.027480000630021
xfeat_sparse_coarse,131,2582421519397,True,178.47274197265506,3.4647620050236583,289,178,0.615916955017301,0.5625,248,228,172,0.6935483870967742,0.5833333333333334,0.7618916630744934,101,1,57,0.5643564356435643,0.813857913017273,1.2401757478713988,0.3958333333333333,0.02534417021154878,0.005476774069409702,6.431703979615122
xfeat_grid_fine,131,2582421519397,True,200.95531904371455,9.827681991737336,216,192,0.8888888888888888,0.7291666666666666,202,202,144,0.7128712871287128,0.7291666666666666,0.764458954334259,97,1,77,0.7938144329896907,0.5596556663513184,1.2519896268844606,0.4166666666666667,0.008856686468902785,0.005783202640005839,1.4813760062679648
xfeat_global_fine,131,2582421519397,True,95.10569705162197,7.38600199110806,363,338,0.931129476584022,0.4375,357,355,310,0.8683473389355743,0.5,0.864958643913269,263,1,250,0.9505703422053232,0.5582554340362549,1.0645311832427977,0.3125,0.01666011321388405,0.006572501317193881,1.0378150036558509
orb_control,131,2582421519397,True,11.065700964536518,1.4544919831678271,368,322,0.875,0.4375,372,322,312,0.8387096774193549,0.5208333333333334,0.9452779293060303,221,1,189,0.8552036199095022,0.5865956544876099,1.3133845567703255,0.2916666666666667,0.009491452386411114,0.005296042571308826,1.1061090044677258
xfeat_sparse_coarse,141,2583411508940,True,190.0652420008555,2.817925007548183,319,236,0.7398119122257053,0.5833333333333334,284,257,185,0.6514084507042254,0.5833333333333334,0.7845226526260376,116,1,79,0.6810344827586207,0.9411035776138306,1.5843220710754398,0.375,0.015323742553537844,0.004124286302456502,3.3607850200496614
xfeat_grid_fine,141,2583411508940,True,209.26615095231682,12.699935003183782,211,178,0.8436018957345972,0.75,210,209,162,0.7714285714285715,0.8125,0.7998712062835693,113,1,96,0.8495575221238938,0.8396764993667603,1.367260456085205,0.5625,0.022415300343100356,0.0056928987282102985,1.2834080262109637
xfeat_global_fine,141,2583411508940,True,100.23681598249823,7.4876739527098835,371,350,0.9433962264150944,0.3541666666666667,368,366,325,0.8831521739130435,0.4791666666666667,0.890172004699707,282,1,270,0.9574468085106383,0.47907811403274536,0.9894629776477812,0.2916666666666667,0.015150113043200223,0.005661850503238318,0.9843949810601771
orb_control,141,2583411508940,True,12.469076900742948,1.7302510095760226,402,330,0.8208955223880597,0.375,366,313,301,0.8224043715846995,0.5208333333333334,0.9531893134117126,230,1,210,0.9130434782608695,0.5198667049407959,1.2534622430801392,0.375,0.02559084453808718,0.004467558688046027,1.0352309909649193
xfeat_sparse_coarse,151,2584491539523,True,191.02819898398593,3.396956017240882,352,247,0.7017045454545454,0.4583333333333333,295,258,202,0.6847457627118644,0.4791666666666667,0.8434359431266785,142,1,97,0.6830985915492958,0.5850511193275452,1.2571725606918336,0.3125,0.03129756184979772,0.0014182670306508952,2.1645940141752362
xfeat_grid_fine,151,2584491539523,True,208.4937589825131,11.130223982036114,200,156,0.78,0.6458333333333334,189,189,139,0.7354497354497355,0.7291666666666666,0.8079553842544556,89,1,70,0.7865168539325843,0.4502578675746918,0.8658527970314027,0.375,0.010753760712414295,0.0018446878420675624,1.1193069512955844
xfeat_global_fine,151,2584491539523,True,98.87687303125858,7.513790973462164,364,349,0.9587912087912088,0.3541666666666667,361,360,325,0.9002770083102493,0.375,0.8925157785415649,272,1,254,0.9338235294117647,0.4207093119621277,0.7884650766849519,0.2708333333333333,0.00923337706651629,0.0027045876233698007,0.9531810064800084
orb_control,151,2584491539523,True,11.143281997647136,1.2682550004683435,384,355,0.9244791666666666,0.4166666666666667,382,335,329,0.8612565445026178,0.4375,0.9573037624359131,248,1,225,0.907258064516129,0.42375344038009644,1.1292221069335937,0.3958333333333333,0.036719922363089484,0.0015698408054869177,0.9156820015050471
xfeat_sparse_coarse,161,2585481522149,True,185.58438104810193,3.8327659713104367,263,178,0.6768060836501901,0.3958333333333333,283,252,190,0.6713780918727915,0.5625,0.7734338045120239,105,1,76,0.7238095238095238,0.7219197154045105,1.5117036700248718,0.2708333333333333,0.024961347538759424,0.002394797823039658,3.845125960651785
