index,left_x,left_y,right_x,depth,octave,response,valid_depth
0,287.000000,371.000000,-1.000000,-1.000000,0,18.000000,0
1,246.000000,388.000000,-1.000000,-1.000000,0,13.000000,0
2,285.000000,352.000000,-1.000000,-1.000000,0,11.000000,0
3,246.000000,346.000000,-1.000000,-1.000000,0,10.000000,0
4,221.000000,511.000000,-1.000000,-1.000000,0,25.000000,0
5,187.000000,507.000000,-1.000000,-1.000000,0,33.000000,0
6,238.000000,483.000000,-1.000000,-1.000000,0,41.000000,0
7,185.000000,483.000000,-1.000000,-1.000000,0,38.000000,0
8,460.000000,450.000000,-1.000000,-1.000000,0,34.000000,0
9,422.000000,450.000000,-1.000000,-1.000000,0,20.000000,0
10,442.000000,409.000000,-1.000000,-1.000000,0,19.000000,0
11,399.000000,416.000000,-1.000000,-1.000000,0,14.000000,0
12,79.000000,57.000000,-1.000000,-1.000000,0,17.000000,0
13,35.000000,67.000000,-1.000000,-1.000000,0,19.000000,0
14,89.000000,33.000000,-1.000000,-1.000000,0,19.000000,0
15,35.000000,40.000000,-1.000000,-1.000000,0,25.000000,0
16,74.000000,184.000000,-1.000000,-1.000000,0,115.000000,0
17,44.000000,200.000000,-1.000000,-1.000000,0,127.000000,0
18,74.000000,168.000000,-1.000000,-1.000000,0,66.000000,0
19,27.000000,168.000000,22.774075,4.169314,0,161.000000,1
20,435.000000,264.000000,-1.000000,-1.000000,0,34.000000,0
21,399.000000,247.000000,-1.000000,-1.000000,0,43.000000,0
22,455.000000,212.000000,448.864868,2.871855,0,148.000000,1
23,404.000000,224.000000,-1.000000,-1.000000,0,85.000000,0
24,214.000000,141.000000,213.918259,215.548370,0,106.000000,1
25,197.000000,137.000000,195.878128,15.705189,0,130.000000,1
26,206.000000,82.000000,-1.000000,-1.000000,0,133.000000,0
27,195.000000,92.000000,193.901047,16.032721,0,133.000000,1
28,386.000000,182.000000,385.200745,22.044533,0,110.000000,1
29,327.000000,178.000000,326.095184,19.472708,0,53.000000,1
30,387.000000,146.000000,-1.000000,-1.000000,0,123.000000,0
31,334.000000,171.000000,-1.000000,-1.000000,0,57.000000,0
32,142.000000,188.000000,139.013916,5.900441,0,98.000000,1
33,127.000000,186.000000,-1.000000,-1.000000,0,70.000000,0
34,145.000000,150.000000,-1.000000,-1.000000,0,29.000000,0
35,115.000000,172.000000,113.137062,9.457755,0,96.000000,1
36,84.000000,266.000000,79.907753,4.305510,0,73.000000,1
37,53.000000,267.000000,48.715103,4.111934,0,67.000000,1
38,58.000000,223.000000,-1.000000,-1.000000,0,119.000000,0
39,46.000000,217.000000,-1.000000,-1.000000,0,113.000000,0
40,319.000000,204.000000,-1.000000,-1.000000,0,75.000000,0
41,261.000000,206.000000,-1.000000,-1.000000,0,92.000000,0
42,300.000000,172.000000,299.213715,22.408163,0,72.000000,1
43,263.000000,170.000000,262.026581,18.100332,0,70.000000,1
44,521.000000,259.000000,-1.000000,-1.000000,0,38.000000,0
45,477.000000,261.000000,465.311554,1.507404,0,66.000000,1
46,514.000000,210.000000,-1.000000,-1.000000,0,76.000000,0
47,480.000000,208.000000,-1.000000,-1.000000,0,107.000000,0
48,447.000000,64.000000,-1.000000,-1.000000,0,148.000000,0
49,413.000000,50.000000,-1.000000,-1.000000,0,117.000000,0
50,435.000000,40.000000,-1.000000,-1.000000,0,175.000000,0
51,422.000000,40.000000,-1.000000,-1.000000,0,159.000000,0
52,513.000000,128.000000,-1.000000,-1.000000,0,71.000000,0
53,480.000000,129.000000,-1.000000,-1.000000,0,113.000000,0
54,544.000000,99.000000,-1.000000,-1.000000,0,49.000000,0
55,482.000000,81.000000,-1.000000,-1.000000,0,143.000000,0
56,620.000000,116.000000,-1.000000,-1.000000,0,129.000000,0
57,574.000000,142.000000,-1.000000,-1.000000,0,80.000000,0
58,617.000000,108.000000,614.889099,8.346773,0,139.000000,1
59,568.000000,109.000000,-1.000000,-1.000000,0,52.000000,0
60,471.000000,376.000000,-1.000000,-1.000000,0,43.000000,0
61,433.000000,391.000000,-1.000000,-1.000000,0,13.000000,0
62,456.000000,356.000000,430.133698,0.681165,0,54.000000,1
63,425.000000,354.000000,-1.000000,-1.000000,0,46.000000,0
64,375.000000,142.000000,374.103790,19.659697,0,131.000000,1
65,333.000000,127.000000,332.056061,18.665621,0,124.000000,1
66,394.000000,86.000000,-1.000000,-1.000000,0,120.000000,0
67,347.000000,104.000000,-1.000000,-1.000000,0,76.000000,0
68,211.000000,203.000000,-1.000000,-1.000000,0,95.000000,0
69,178.000000,192.000000,-1.000000,-1.000000,0,92.000000,0
70,216.000000,146.000000,215.724228,63.890480,0,115.000000,1
71,200.000000,152.000000,198.904160,16.078262,0,91.000000,1
72,592.000000,260.000000,-1.000000,-1.000000,0,39.000000,0
73,579.000000,263.000000,-1.000000,-1.000000,0,42.000000,0
74,618.000000,220.000000,-1.000000,-1.000000,0,98.000000,0
75,552.000000,212.000000,-1.000000,-1.000000,0,126.000000,0
76,209.000000,58.000000,204.970657,4.372726,0,129.000000,1
77,175.000000,72.000000,-1.000000,-1.000000,0,95.000000,0
78,242.000000,28.000000,237.701965,4.099365,0,55.000000,1
79,192.000000,38.000000,-1.000000,-1.000000,0,126.000000,0
80,616.000000,327.000000,-1.000000,-1.000000,0,57.000000,0
81,568.000000,308.000000,539.467407,0.617512,0,56.000000,1
82,600.000000,295.000000,-1.000000,-1.000000,0,58.000000,0
83,562.000000,282.000000,-1.000000,-1.000000,0,72.000000,0
84,618.000000,72.000000,-1.000000,-1.000000,0,66.000000,0
85,570.000000,60.000000,-1.000000,-1.000000,0,42.000000,0
