method,frame_index,stamp_ns,orb_tracking_ok,extract_pair_ms,temporal_match_ms,temporal_matches,temporal_ransac_inliers,temporal_ransac_ratio,temporal_coverage,stereo_matches,stereo_geometric_depths,stereo_ncc_depths,stereo_ncc_ratio,stereo_ncc_coverage,stereo_ncc_median,pnp_candidates,pnp_success,pnp_inliers,pnp_inlier_ratio,pnp_reprojection_median_px,pnp_reprojection_p90_px,pnp_grid_coverage,relative_translation_m,relative_rotation_rad,pnp_ms
orb_slam3_production,1,2569101470849,,253.63733002450317,14.42732202121988,341,315,0.9237536656891495,0.9583333333333334,169,168,163,0.9644970414201184,0.6666666666666666,0.9501999616622925,131,1,126,0.9618320610687023,0.06856118142604828,0.11403774842619896,0.6041666666666666,0.00010687623903518353,0.000237018920880984,6.976378965191543
xfeat_grid16_fine,1,2569101470849,,206.27169497311115,14.029290992766619,350,346,0.9885714285714285,1.0,263,263,194,0.7376425855513308,0.7083333333333334,0.7895573377609253,145,1,126,0.8689655172413793,0.46042996644973755,0.8864091038703918,0.6458333333333334,0.0003177092403419727,0.004559501804383764,1.0228720493614674
orb_slam3_production,11,2570181473058,,257.7941080671735,2.1921079605817795,341,315,0.9237536656891495,0.9583333333333334,157,156,155,0.9872611464968153,0.7083333333333334,0.9497662782669067,126,1,125,0.9920634920634921,0.04879573732614517,0.08172811269760133,0.7083333333333334,0.0001327064081305674,0.00017618493331487557,0.7687599863857031
xfeat_grid16_fine,11,2570181473058,,196.26399100525305,13.402984011918306,351,350,0.9971509971509972,1.0,259,259,189,0.7297297297297297,0.7291666666666666,0.7663401365280151,140,1,140,1.0,0.6296104788780212,1.0484958648681642,0.75,0.000746861031595911,0.0038087673189606593,1.1048520100302994
orb_slam3_production,21,2571171462517,True,279.2459920165129,3.138165979180485,329,304,0.9240121580547113,0.9375,165,163,161,0.9757575757575757,0.7083333333333334,0.9459220170974731,126,1,123,0.9761904761904762,0.059815481305122375,0.10759176760911941,0.6666666666666666,0.00010272258350285684,0.0001803127811570543,0.8610759978182614
xfeat_grid16_fine,21,2571171462517,True,202.50065898289904,13.738728011958301,330,328,0.9939393939393939,0.8958333333333334,254,253,182,0.7165354330708661,0.7083333333333334,0.7752328515052795,138,1,113,0.8188405797101449,0.4446388781070709,0.9484350919723511,0.4791666666666667,0.012862473232448405,0.004226192137567747,1.2122509651817381
orb_slam3_production,31,2572161479393,True,285.8568110386841,3.141517983749509,333,300,0.9009009009009009,0.9166666666666666,165,163,161,0.9757575757575757,0.7083333333333334,0.9509478807449341,129,1,123,0.9534883720930233,0.03840678557753563,0.0636624500155449,0.6458333333333334,7.941296791137856e-05,0.0001209629852739033,1.4458330115303397
xfeat_grid16_fine,31,2572161479393,True,202.62202300364152,13.996052031870931,331,328,0.9909365558912386,0.9166666666666666,271,271,184,0.6789667896678967,0.7708333333333334,0.7262207269668579,136,1,113,0.8308823529411765,0.5189555883407593,0.9138412952423095,0.625,0.00270523693716188,0.00452423405896069,1.2384370202198625
orb_slam3_production,41,2573241482810,True,278.32325699273497,1.9622960244305432,322,303,0.9409937888198758,0.9166666666666666,167,166,165,0.9880239520958084,0.7291666666666666,0.9477419257164001,127,1,121,0.952755905511811,0.0203334242105484,0.20228885114192963,0.6458333333333334,0.00022703397402171302,6.11257231856899e-05,0.7535369950346649
xfeat_grid16_fine,41,2573241482810,True,211.04248997289687,13.289999042171985,337,335,0.9940652818991098,0.9375,258,257,184,0.7131782945736435,0.7708333333333334,0.7687920928001404,139,1,136,0.9784172661870504,0.5644519329071045,0.9502309560775757,0.7291666666666666,0.0003031161315849357,0.003849651688381495,0.8792310254648328
orb_slam3_production,51,2574231483935,True,278.13220099778846,2.888452960178256,305,278,0.9114754098360656,0.9375,166,165,162,0.9759036144578314,0.6875,0.9525672197341919,119,1,117,0.9831932773109243,0.022737398743629456,0.2919595241546631,0.6041666666666666,0.0004903338341725377,0.00012047946970842825,0.7212759810499847
xfeat_grid16_fine,51,2574231483935,True,204.82146402355283,13.981527008581907,336,335,0.9970238095238095,0.9375,263,260,182,0.6920152091254753,0.75,0.724868655204773,142,1,139,0.9788732394366197,0.4985942244529724,0.9332549571990968,0.6875,0.0007042859853482121,0.003874566303692516,0.8212729590013623
orb_slam3_production,61,2575221484144,True,291.46668303292245,2.1397340460680425,328,299,0.9115853658536586,0.9583333333333334,157,156,155,0.9872611464968153,0.6458333333333334,0.9556858539581299,123,1,120,0.975609756097561,0.05978207290172577,0.14313407987356186,0.6458333333333334,0.0003491246466426677,0.000140731859914532,0.8855159976519644
xfeat_grid16_fine,61,2575221484144,True,220.48079897649586,14.854612993076444,331,326,0.9848942598187311,0.9375,270,269,181,0.6703703703703704,0.7291666666666666,0.7524961829185486,138,1,117,0.8478260869565217,0.4311619699001312,0.922200059890747,0.5625,0.012015650106836953,0.004106458269930032,1.3095940230414271
orb_slam3_production,71,2576301492853,True,285.3353190002963,2.065993961878121,342,315,0.9210526315789473,0.9583333333333334,160,160,157,0.98125,0.6875,0.9477042555809021,127,1,125,0.984251968503937,0.021952547132968903,0.054245549440383914,0.6458333333333334,0.0001141902260712123,0.00015488740980982172,0.8602369925938547
xfeat_grid16_fine,71,2576301492853,True,195.16716996440664,13.43817904125899,335,333,0.9940298507462687,0.9166666666666666,260,258,181,0.6961538461538461,0.75,0.7646285891532898,141,1,136,0.9645390070921985,0.5835418701171875,0.9352666139602661,0.7291666666666666,0.00045956080796316764,0.004068918726124768,0.7248370093293488
orb_slam3_production,81,2577291484020,True,279.0084990556352,2.124931022990495,323,288,0.891640866873065,0.9583333333333334,173,172,167,0.9653179190751445,0.7291666666666666,0.9422887563705444,127,1,121,0.952755905511811,0.04158792272210121,0.08471808582544327,0.6666666666666666,0.00015857669592709677,0.00024172112589854227,0.6568219978362322
xfeat_grid16_fine,81,2577291484020,True,199.33051202679053,14.587722951546311,332,331,0.9969879518072289,0.9375,265,263,187,0.7056603773584905,0.7291666666666666,0.7489309906959534,136,1,119,0.875,0.5179350972175598,0.8759793758392335,0.6458333333333334,0.0028066786064167367,0.004262264218587306,1.1149769998155534
orb_slam3_production,91,2578281501270,True,279.8978559440002,1.652111008297652,310,281,0.9064516129032258,0.9583333333333334,160,159,155,0.96875,0.7083333333333334,0.9528022408485413,120,1,115,0.9583333333333334,0.06008409708738327,0.18728461563587195,0.6041666666666666,0.0003760241459637669,0.0003222922363862322,0.8878899971023202
xfeat_grid16_fine,91,2578281501270,True,205.51424694713205,12.481018027756363,334,333,0.9970059880239521,0.9375,260,257,185,0.7115384615384616,0.7291666666666666,0.7564759254455566,137,1,114,0.8321167883211679,0.4860799312591553,0.8929298162460327,0.5833333333333334,0.007290795206628665,0.004477233825084918,1.1755209998227656
orb_slam3_production,101,2579361495313,True,280.1485460367985,3.3032450010068715,335,313,0.9343283582089552,0.9375,172,171,171,0.9941860465116279,0.7291666666666666,0.9506425857543945,132,1,125,0.946969696969697,0.040920380502939224,0.13359764516353614,0.625,0.0002620871560592836,0.00023538298755455746,0.8070259937085211
xfeat_grid16_fine,101,2579361495313,True,204.05193598708138,13.096290989778936,334,329,0.9850299401197605,0.9375,274,272,191,0.6970802919708029,0.75,0.734792947769165,143,1,121,0.8461538461538461,0.4714822769165039,0.8671054244041443,0.6041666666666666,0.008461388558494324,0.004364523928988105,1.0966830304823816
orb_slam3_production,111,2580351508313,True,304.1922459960915,1.7354189767502248,203,115,0.5665024630541872,0.7083333333333334,180,177,174,0.9666666666666667,0.6458333333333334,0.963205099105835,101,1,71,0.7029702970297029,0.6571190357208252,1.4097813367843628,0.3958333333333333,0.010681733275662552,0.006426401239242037,2.0544719882309437
xfeat_grid16_fine,111,2580351508313,True,196.5894000022672,11.517781007569283,303,259,0.8547854785478548,0.7916666666666666,286,284,222,0.7762237762237763,0.8541666666666666,0.8085055351257324,165,1,127,0.7696969696969697,0.7316811084747314,1.2729236602783203,0.5208333333333334,0.009040877924079052,0.004116930816482818,1.663214003201574
orb_slam3_production,121,2581431510480,True,281.0044540092349,2.498382003977895,201,120,0.5970149253731343,0.625,165,165,162,0.9818181818181818,0.6875,0.9524832963943481,87,1,61,0.7011494252873564,0.5810760259628296,1.3568973541259766,0.4375,0.030112729716863927,0.0056066216253984925,2.006150025408715
xfeat_grid16_fine,121,2581431510480,True,200.02280705375597,10.765710030682385,283,234,0.8268551236749117,0.75,265,261,203,0.7660377358490567,0.875,0.7857297658920288,148,1,124,0.8378378378378378,0.7163670063018799,1.340510606765747,0.5,0.019963052795468585,0.0025276154458177013,1.3473029830493033
orb_slam3_production,131,2582421519397,True,279.0467659942806,1.959923014510423,210,126,0.6,0.75,164,164,163,0.9939024390243902,0.7916666666666666,0.9604184627532959,102,1,78,0.7647058823529411,0.6028276681900024,1.3881791114807127,0.5,0.02164824639195413,0.005000691134067286,1.4261410105973482
xfeat_grid16_fine,131,2582421519397,True,206.78508700802922,10.68575499812141,282,236,0.8368794326241135,0.7708333333333334,261,261,179,0.685823754789272,0.75,0.7573581337928772,132,1,106,0.803030303030303,0.7752705216407776,1.4591847658157349,0.4583333333333333,0.026209751241813756,0.004496412203823467,1.176568039227277
orb_slam3_production,141,2583411508940,True,279.0628280490637,2.3959410027600825,194,122,0.6288659793814433,0.6041666666666666,193,191,190,0.9844559585492227,0.7291666666666666,0.961906373500824,100,1,73,0.73,0.8182389736175537,1.2191730976104735,0.375,0.0290831880646037,0.003564340864072162,1.7152379732578993
