frame_id,stamp_ns,tracking_state,keypoints,valid_depths,valid_depth_ratio,depth_grid_coverage,tracked_inliers,feature_extract_ms,stereo_match_ms,hybrid_candidates,hybrid_fine_matches,hybrid_accepted,hybrid_added,hybrid_replaced,hybrid_rejected,hybrid_ms,frontend_ms,track_total_ms,pose_valid,tcw_tx,tcw_ty,tcw_tz,tcw_qx,tcw_qy,tcw_qz,tcw_qw
0,1785980894347323723,2,604,226,0.374172,0.8125,226,79.206888,9.366330,0,0,0,0,0,0,0.000000,88.573218,92.810130,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1,1785980894437323598,2,604,229,0.379139,0.812500,187,73.172503,8.875285,0,0,0,0,0,0,0.000000,82.047788,107.797674,1,0.000006,0.000045,-0.000115,0.000111,-0.000051,-0.000013,1.000000
2,1785980894527324181,2,604,238,0.394040,0.833333,183,73.242253,8.883034,0,0,0,0,0,0,0.000000,82.125287,107.546005,1,0.000008,0.000264,-0.000057,0.000246,-0.000010,-0.000025,1.000000
3,1785980894617324556,2,604,231,0.382450,0.812500,180,73.104794,8.778492,0,0,0,0,0,0,0.000000,81.883286,107.162002,1,-0.000014,0.000188,-0.000064,0.000176,-0.000067,-0.000175,1.000000
4,1785980894707325806,2,604,217,0.359272,0.750000,179,72.235787,8.321196,0,0,0,0,0,0,0.000000,80.556983,106.959376,1,-0.000107,0.000110,-0.000091,0.000139,0.000029,-0.000153,1.000000
5,1785980894797325806,2,606,234,0.386139,0.812500,180,72.769749,8.901243,0,0,0,0,0,0,0.000000,81.670992,106.461913,1,-0.000071,0.000322,-0.000028,0.000231,-0.000004,-0.000099,1.000000
6,1785980894887325265,2,605,229,0.378512,0.770833,167,73.240168,8.750742,0,0,0,0,0,0,0.000000,81.990910,106.280369,1,0.000175,0.000002,-0.000011,0.000007,-0.000174,-0.000007,1.000000
7,1785980894977325890,2,606,229,0.377888,0.791667,179,73.145002,8.932410,0,0,0,0,0,0,0.000000,82.077412,99.747688,1,0.000045,0.000163,-0.000001,0.000126,-0.000098,0.000005,1.000000
8,1785980895067325640,2,605,214,0.353719,0.770833,174,72.879000,8.362613,0,0,0,0,0,0,0.000000,81.241613,95.950405,1,0.000370,0.000100,-0.000146,0.000204,-0.000235,0.000235,1.000000
9,1785980895157325723,2,606,217,0.358086,0.770833,169,72.751499,8.356655,0,0,0,0,0,0,0.000000,81.108154,96.852330,1,0.000070,-0.000051,-0.000200,0.000102,-0.000096,0.000030,1.000000
