frame_id,stamp_ns,tracking_state,keypoints,valid_depths,valid_depth_ratio,depth_grid_coverage,tracked_inliers,feature_extract_ms,stereo_match_ms,hybrid_candidates,hybrid_fine_matches,hybrid_accepted,hybrid_added,hybrid_replaced,hybrid_rejected,hybrid_ms,frontend_ms,track_total_ms,pose_valid,tcw_tx,tcw_ty,tcw_tz,tcw_qx,tcw_qy,tcw_qz,tcw_qw
0,1785980800116998720,2,605,238,0.393388,0.8125,238,92.600566,66.126803,366,355,16,16,0,320,57.130033,158.727369,162.842583,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1,1785980800206994261,2,605,235,0.388430,0.833333,201,87.375923,62.743056,355,346,16,16,0,311,53.844453,150.118979,178.954435,1,-0.000122,0.000083,-0.000077,0.000118,0.000060,-0.000036,1.000000
2,1785980800296993886,2,606,240,0.396040,0.833333,211,87.639634,62.189299,364,357,14,14,0,324,53.441490,149.828933,175.844774,1,-0.000140,0.000106,-0.000094,0.000113,0.000082,-0.000091,1.000000
3,1785980800386993636,2,605,237,0.391736,0.812500,202,82.959872,62.104507,366,358,15,15,0,323,53.435656,145.064379,171.202387,1,-0.000018,0.000110,0.000004,0.000121,0.000019,0.000003,1.000000
4,1785980800476993136,2,605,240,0.396694,0.833333,197,84.044216,62.469468,360,355,15,15,0,319,53.714867,146.513684,171.927060,1,-0.000221,0.000108,-0.000091,0.000171,0.000135,-0.000094,1.000000
5,1785980800566994886,2,605,226,0.373554,0.833333,197,84.240427,61.778669,349,339,13,13,0,303,53.414114,146.019096,173.084656,1,-0.000248,0.000093,-0.000032,0.000044,0.000145,-0.000079,1.000000
6,1785980800656995095,2,606,233,0.384488,0.833333,195,84.277177,62.171589,373,361,11,11,0,327,53.446531,146.448766,172.175062,1,-0.000029,0.000007,-0.000007,0.000015,0.000021,0.000010,1.000000
7,1785980800746995178,2,606,231,0.381188,0.812500,195,86.179782,61.945462,370,360,15,15,0,322,53.558699,148.125244,166.259952,1,-0.000071,0.000113,0.000015,0.000067,0.000033,0.000013,1.000000
8,1785980800836995887,2,605,228,0.376860,0.812500,200,84.754808,61.825502,361,351,20,20,0,313,53.373655,146.580310,166.321662,1,-0.000119,0.000044,-0.000016,0.000075,0.000041,-0.000072,1.000000
9,1785980800926996137,2,605,240,0.396694,0.833333,198,84.026923,62.012795,368,361,17,17,0,325,53.458364,146.039718,165.018436,1,-0.000073,0.000031,0.000010,0.000013,0.000044,-0.000024,1.000000
