frame_id,stamp_ns,tracking_state,keypoints,valid_depths,valid_depth_ratio,depth_grid_coverage,tracked_inliers,feature_extract_ms,stereo_match_ms,hybrid_candidates,hybrid_fine_matches,hybrid_accepted,hybrid_added,hybrid_replaced,hybrid_rejected,hybrid_ms,frontend_ms,track_total_ms,pose_valid,tcw_tx,tcw_ty,tcw_tz,tcw_qx,tcw_qy,tcw_qz,tcw_qw
28,1785980802817000971,2,605,216,0.357025,0.791667,176,84.077235,8.252880,0,0,0,0,0,0,0.000000,92.330115,108.709704,1,0.000015,-0.000047,0.000037,-0.000063,0.000031,0.000071,1.000000
29,1785980802907001179,2,605,215,0.355372,0.833333,175,83.051053,8.413298,0,0,0,0,0,0,0.000000,91.464351,108.235031,1,-0.000031,-0.000048,0.000053,0.000000,0.000081,0.000043,1.000000
30,1785980802997001304,2,605,217,0.358678,0.770833,182,84.107069,8.382506,0,0,0,0,0,0,0.000000,92.489575,110.149019,1,-0.000024,0.000058,-0.000064,0.000119,-0.000040,0.000005,1.000000
31,1785980803087002388,2,605,212,0.350413,0.812500,176,84.811997,8.304838,0,0,0,0,0,0,0.000000,93.116835,110.245104,1,-0.000039,-0.000015,0.000005,-0.000011,0.000029,0.000074,1.000000
32,1785980803177001596,2,605,221,0.365289,0.791667,182,84.046275,8.545258,0,0,0,0,0,0,0.000000,92.591533,109.601842,1,0.000076,-0.000154,-0.000064,-0.000036,-0.000020,0.000035,1.000000
33,1785980803267004346,2,606,232,0.382838,0.833333,178,83.990690,8.900931,0,0,0,0,0,0,0.000000,92.891621,111.285867,1,-0.000135,-0.000073,0.000028,-0.000033,0.000082,-0.000027,1.000000
34,1785980803357003804,2,605,220,0.363636,0.791667,174,83.945606,8.532009,0,0,0,0,0,0,0.000000,92.477615,107.129219,1,0.000021,-0.000089,-0.000091,0.000015,-0.000004,0.000063,1.000000
35,1785980803447005221,2,605,220,0.363636,0.791667,180,84.042941,8.476799,0,0,0,0,0,0,0.000000,92.519740,109.599091,1,-0.000058,-0.000061,-0.000199,0.000066,-0.000025,-0.000077,1.000000
36,1785980803537003554,2,605,239,0.395041,0.812500,178,85.946138,9.046683,0,0,0,0,0,0,0.000000,94.992821,109.833970,1,-0.000140,-0.000029,-0.000055,0.000060,0.000061,-0.000096,1.000000
37,1785980803627006721,2,605,222,0.366942,0.812500,181,83.874522,8.599218,0,0,0,0,0,0,0.000000,92.473740,110.850944,1,-0.000274,0.000023,-0.000061,0.000081,0.000112,-0.000116,1.000000
