frame_id,stamp_ns,tracking_state,keypoints,valid_depths,valid_depth_ratio,depth_grid_coverage,tracked_inliers,feature_extract_ms,stereo_match_ms,hybrid_candidates,hybrid_fine_matches,hybrid_accepted,hybrid_added,hybrid_replaced,hybrid_rejected,hybrid_ms,frontend_ms,track_total_ms,pose_valid,tcw_tx,tcw_ty,tcw_tz,tcw_qx,tcw_qy,tcw_qz,tcw_qw
28,1785981017377837781,2,607,204,0.336079,0.812500,103,78.454258,61.253133,344,338,19,19,0,293,53.588471,139.707391,149.516898,1,-0.001807,0.001528,-0.012358,-0.003361,-0.003879,0.001652,0.999985
29,1785981017467838781,2,606,194,0.320132,0.750000,101,82.489403,60.277128,341,327,17,17,0,289,52.920092,142.766531,153.132374,1,0.000340,-0.001540,-0.036247,0.001155,-0.003464,0.000515,0.999993
30,1785981017557841865,2,605,204,0.337190,0.770833,84,82.345361,60.773297,357,351,23,22,1,306,53.514762,143.118658,152.766956,1,-0.001344,-0.004338,-0.069496,0.007728,-0.004922,-0.004362,0.999949
31,1785981017647841782,2,604,204,0.337748,0.812500,151,80.627561,60.716505,339,331,23,23,0,278,53.437677,141.344066,150.870654,1,-0.005121,-0.004982,-0.107128,0.013664,-0.004977,-0.011096,0.999833
32,1785981017737845490,2,605,214,0.353719,0.812500,165,85.956212,61.499884,356,346,20,20,0,299,53.815763,147.456096,158.288524,1,-0.005796,0.000559,-0.137034,0.004981,-0.008329,-0.013470,0.999862
33,1785981017827844198,2,609,239,0.392447,0.833333,181,81.785233,62.345055,356,352,19,19,0,302,53.881347,144.130288,157.439061,1,-0.002395,0.004741,-0.167341,0.002798,-0.007899,-0.015040,0.999852
34,1785981017917843573,2,606,208,0.343234,0.833333,128,82.040068,61.100966,358,348,18,18,0,308,53.463678,143.141034,154.808131,1,-0.001559,0.006483,-0.207713,0.014628,-0.009016,-0.018298,0.999685
35,1785981018007842407,2,604,213,0.352649,0.833333,174,82.037693,61.169132,358,346,14,14,0,314,53.197177,143.206825,154.745548,1,-0.001595,0.009158,-0.247958,0.024724,-0.008660,-0.020135,0.999454
36,1785981018097845657,2,604,196,0.324503,0.750000,100,78.329341,60.282128,353,344,17,17,0,308,53.133260,138.611469,149.499730,1,-0.002963,0.013546,-0.280870,0.025125,-0.008002,-0.023264,0.999382
37,1785981018187844573,2,603,199,0.330017,0.833333,95,81.802149,60.773963,362,354,15,15,0,314,53.484511,142.576112,153.542541,1,-0.000415,0.017460,-0.314067,0.023194,-0.010511,-0.023507,0.999399
