frame_id,stamp_ns,tracking_state,keypoints,valid_depths,valid_depth_ratio,depth_grid_coverage,tracked_inliers,feature_extract_ms,stereo_match_ms,hybrid_candidates,hybrid_fine_matches,hybrid_accepted,hybrid_added,hybrid_replaced,hybrid_rejected,hybrid_ms,frontend_ms,track_total_ms,pose_valid,tcw_tx,tcw_ty,tcw_tz,tcw_qx,tcw_qy,tcw_qz,tcw_qw
0,1785980894347323723,2,604,253,0.418874,0.8125,253,79.229382,66.287500,360,341,27,27,0,295,57.297522,145.516882,149.720119,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1,1785980894437323598,2,604,249,0.412252,0.812500,205,78.216624,62.412806,336,323,20,20,0,281,53.515745,140.629430,165.993689,1,-0.000011,0.000031,-0.000197,0.000133,-0.000039,0.000009,1.000000
2,1785980894527324181,2,604,260,0.430464,0.833333,202,73.160797,62.557474,343,331,22,22,0,282,53.471286,135.718271,164.217676,1,-0.000137,0.000169,-0.000144,0.000203,0.000067,-0.000092,1.000000
3,1785980894617324556,2,604,249,0.412252,0.833333,194,73.137297,62.012345,345,334,18,18,0,288,53.199743,135.149642,161.843994,1,-0.000070,0.000171,-0.000174,0.000170,-0.000062,-0.000202,1.000000
4,1785980894707325806,2,604,239,0.395695,0.791667,197,74.001094,61.576884,340,331,22,22,0,284,53.133909,135.577978,161.494324,1,-0.000119,0.000091,-0.000187,0.000139,0.000018,-0.000166,1.000000
5,1785980894797325806,2,606,260,0.429043,0.812500,197,73.393216,61.985428,339,327,27,26,1,277,53.119158,135.378644,161.714118,1,-0.000098,0.000251,-0.000137,0.000212,0.000011,-0.000125,1.000000
6,1785980894887325265,2,605,249,0.411570,0.812500,184,73.113671,61.792801,347,331,20,20,0,286,52.972074,134.906472,162.078702,1,0.000074,-0.000149,-0.000217,-0.000029,-0.000177,-0.000029,1.000000
7,1785980894977325890,2,606,251,0.414191,0.791667,198,71.668995,62.333181,357,342,22,22,0,294,53.400452,134.002176,154.019230,1,0.000014,0.000116,-0.000058,0.000112,-0.000070,0.000027,1.000000
8,1785980895067325640,2,605,234,0.386777,0.791667,190,73.608591,61.714634,355,344,20,20,0,298,53.336160,135.323225,153.712727,1,0.000287,0.000028,-0.000202,0.000161,-0.000190,0.000208,1.000000
9,1785980895157325723,2,606,236,0.389439,0.770833,186,73.114171,61.466799,347,334,19,19,0,290,53.146033,134.580970,154.163939,1,0.000085,-0.000123,-0.000170,0.000021,-0.000085,0.000086,1.000000
10,1785980895247327057,2,606,247,0.407591,0.833333,184,73.367089,61.303882,342,332,32,32,0,275,53.200659,134.670971,152.365176,1,0.000213,0.000053,0.000010,0.000149,-0.000072,0.000202,1.000000
11,1785980895337329348,2,605,244,0.403306,0.770833,181,73.249714,61.459841,325,310,21,21,0,260,52.999240,134.709555,152.629804,1,0.000155,0.000019,0.000113,0.000014,-0.000062,0.000134,1.000000
12,1785980895427329098,2,603,224,0.371476,0.770833,185,72.901294,61.119255,338,330,22,22,0,281,53.282284,134.020549,153.514641,1,0.000171,0.000033,0.000090,0.000001,-0.000070,0.000030,1.000000
13,1785980895517330473,2,604,247,0.408940,0.770833,183,73.119671,61.481715,332,323,25,25,0,274,53.085866,134.601386,153.008555,1,0.000091,-0.000072,-0.000127,0.000022,-0.000103,-0.000007,1.000000
