frame_id,stamp_ns,tracking_state,keypoints,valid_depths,valid_depth_ratio,depth_grid_coverage,tracked_inliers,feature_extract_ms,stereo_match_ms,hybrid_candidates,hybrid_fine_matches,hybrid_accepted,hybrid_added,hybrid_replaced,hybrid_rejected,hybrid_ms,frontend_ms,track_total_ms,pose_valid,tcw_tx,tcw_ty,tcw_tz,tcw_qx,tcw_qy,tcw_qz,tcw_qw
0,1785981014857825780,2,604,180,0.298013,0.770833,180,88.581546,7.989296,0,0,0,0,0,0,0.000000,96.570842,100.540657,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1,1785981014947829822,2,606,171,0.282178,0.791667,154,85.495946,7.028207,0,0,0,0,0,0,0.000000,92.524153,116.733665,1,0.000064,0.000126,0.000117,0.000054,-0.000051,0.000080,1.000000
2,1785981015037831697,2,605,180,0.297521,0.750000,147,80.713793,7.280916,0,0,0,0,0,0,0.000000,87.994709,110.760964,1,-0.000039,0.000034,-0.000001,0.000073,0.000054,0.000051,1.000000
3,1785981015127832739,2,606,184,0.303630,0.770833,148,79.377202,7.541835,0,0,0,0,0,0,0.000000,86.919037,108.919453,1,-0.000042,0.000042,0.000079,0.000017,0.000040,-0.000233,1.000000
4,1785981015217828864,2,602,192,0.318937,0.812500,144,79.601078,7.566335,0,0,0,0,0,0,0.000000,87.167413,109.878876,1,-0.000057,0.000002,0.000022,-0.000050,0.000010,-0.000164,1.000000
5,1785981015307830572,2,602,181,0.300664,0.812500,140,80.355832,7.167124,0,0,0,0,0,0,0.000000,87.522956,110.640838,1,-0.000013,0.000026,-0.000149,0.000094,-0.000053,-0.000108,1.000000
6,1785981015397832489,2,602,186,0.308970,0.791667,151,79.335368,7.423167,0,0,0,0,0,0,0.000000,86.758535,108.663119,1,-0.000011,0.000061,-0.000012,0.000122,-0.000043,-0.000052,1.000000
7,1785981015487831447,2,606,182,0.300330,0.791667,141,79.477995,7.367209,0,0,0,0,0,0,0.000000,86.845204,102.727502,1,-0.000013,0.000033,-0.000000,0.000140,0.000040,-0.000042,1.000000
8,1785981015577832281,2,604,198,0.327815,0.812500,149,78.322696,7.787878,0,0,0,0,0,0,0.000000,86.110574,100.559323,1,-0.000080,0.000047,0.000028,0.000014,0.000010,-0.000347,1.000000
9,1785981015667832281,2,602,190,0.315615,0.770833,141,79.403785,7.730002,0,0,0,0,0,0,0.000000,87.133787,98.906771,1,-0.000086,0.000032,-0.000022,0.000069,0.000106,-0.000034,1.000000
10,1785981015757832447,2,606,185,0.305281,0.812500,149,80.015205,7.339458,0,0,0,0,0,0,0.000000,87.354663,102.153581,1,-0.000085,-0.000008,0.000166,-0.000127,0.000051,-0.000111,1.000000
11,1785981015847833989,2,604,187,0.309603,0.833333,147,79.320285,7.461209,0,0,0,0,0,0,0.000000,86.781494,101.324785,1,-0.000092,-0.000029,0.000183,-0.000149,0.000192,0.000141,1.000000
12,1785981015937834364,2,604,197,0.326159,0.770833,145,79.514369,7.738710,0,0,0,0,0,0,0.000000,87.253079,99.957443,1,-0.000100,0.000039,0.000100,-0.000057,0.000154,-0.000077,1.000000
13,1785981016027836406,2,604,196,0.324503,0.791667,143,79.485244,7.815794,0,0,0,0,0,0,0.000000,87.301038,100.382570,1,-0.000504,0.000321,0.000307,0.000068,0.000296,-0.000355,1.000000
14,1785981016117834823,2,604,191,0.316225,0.812500,138,79.460410,7.550584,0,0,0,0,0,0,0.000000,87.010994,102.234081,1,-0.000088,0.000037,0.000061,0.000003,0.000047,-0.000173,1.000000
15,1785981016207836114,2,602,181,0.300664,0.729167,135,79.402868,7.496876,0,0,0,0,0,0,0.000000,86.899744,100.269612,1,-0.000016,-0.000000,0.000056,-0.000031,0.000004,-0.000197,1.000000
16,1785981016297835906,2,602,190,0.315615,0.812500,140,79.112200,7.560293,0,0,0,0,0,0,0.000000,86.672493,98.943187,1,-0.000083,0.000007,0.000141,-0.000115,0.000054,-0.000129,1.000000
17,1785981016387838156,2,606,188,0.310231,0.770833,133,79.706870,7.624919,0,0,0,0,0,0,0.000000,87.331789,101.090574,1,-0.000017,0.000020,0.000026,0.000028,0.000100,0.000283,1.000000
18,1785981016477833073,2,602,193,0.320598,0.812500,136,80.039997,7.657294,0,0,0,0,0,0,0.000000,87.697291,99.534690,1,0.000003,0.000006,0.000033,0.000014,0.000071,0.000227,1.000000
19,1785981016567833864,2,602,185,0.307309,0.812500,140,79.443576,7.426834,0,0,0,0,0,0,0.000000,86.870410,102.595542,1,0.000060,-0.000008,0.000238,-0.000074,0.000094,0.000308,1.000000
20,1785981016657833948,2,604,179,0.296358,0.770833,139,79.609451,7.320584,0,0,0,0,0,0,0.000000,86.930035,100.360444,1,-0.000121,0.000038,-0.000059,-0.000005,0.000177,0.000065,1.000000
21,1785981016747835531,2,604,193,0.319536,0.770833,141,79.436201,7.666627,0,0,0,0,0,0,0.000000,87.102828,101.359284,1,-0.000153,0.000114,0.000067,0.000125,0.000260,0.000307,1.000000
22,1785981016837836073,2,604,189,0.312914,0.812500,130,80.063705,7.532918,0,0,0,0,0,0,0.000000,87.596623,100.306069,1,0.000054,-0.000043,0.000350,-0.000170,0.000150,0.000249,1.000000
23,1785981016927837781,2,602,184,0.305648,0.812500,137,79.271283,7.443459,0,0,0,0,0,0,0.000000,86.714742,100.747905,1,-0.000066,0.000003,0.000031,-0.000002,0.000139,0.000136,1.000000
24,1785981017017838698,2,604,188,0.311258,0.791667,141,79.019073,7.432376,0,0,0,0,0,0,0.000000,86.451449,100.617904,1,0.000013,-0.000016,0.000227,-0.000112,0.000121,0.000192,1.000000
25,1785981017107836531,2,604,198,0.327815,0.791667,139,78.607612,7.829669,0,0,0,0,0,0,0.000000,86.437281,100.389902,1,-0.000042,-0.000033,0.000106,-0.000090,0.000149,0.000174,1.000000
26,1785981017197836115,2,604,188,0.311258,0.812500,140,77.805275,7.742210,0,0,0,0,0,0,0.000000,85.547485,99.723315,1,-0.000060,0.000017,0.000072,-0.000027,0.000245,0.000368,1.000000
27,1785981017287838531,2,609,181,0.297209,0.812500,105,79.318075,7.369834,0,0,0,0,0,0,0.000000,86.687909,98.538559,1,0.000096,0.000113,-0.001331,-0.001182,-0.000265,0.001283,0.999998
28,1785981017377837781,2,607,185,0.304778,0.791667,100,78.158568,7.504667,0,0,0,0,0,0,0.000000,85.663235,95.628042,1,-0.001764,0.001511,-0.012354,-0.003374,-0.003893,0.001705,0.999985
29,1785981017467838781,2,606,177,0.292079,0.750000,99,79.033906,7.325542,0,0,0,0,0,0,0.000000,86.359448,96.649548,1,0.000179,-0.001498,-0.036331,0.001215,-0.003385,0.000447,0.999993
30,1785981017557841865,2,605,182,0.300826,0.750000,80,80.166454,7.106082,0,0,0,0,0,0,0.000000,87.272536,96.265712,1,-0.001320,-0.004271,-0.069495,0.007774,-0.004921,-0.004318,0.999948
31,1785981017647841782,2,604,181,0.299669,0.729167,142,81.390711,7.284583,0,0,0,0,0,0,0.000000,88.675294,97.987930,1,-0.005147,-0.005052,-0.107195,0.013650,-0.004936,-0.011084,0.999833
